# UNUSUAL CORES IN AQUILA REGION
# Generated by ASTRA Discovery System

# Very massive cores (M > 5 Msun): 8
182830.9-034733: M=5.81 Msun, T=8.6K, type=prestellar
182832.0-015356: M=10.15 Msun, T=8.4K, type=prestellar
182942.1-015007: M=7.55 Msun, T=8.0K, type=prestellar
182957.5-015843: M=19.70 Msun, T=8.2K, type=prestellar
182957.7-015758: M=5.16 Msun, T=8.3K, type=prestellar
182958.6-020822: M=6.27 Msun, T=7.6K, type=prestellar
183004.1-020305: M=7.98 Msun, T=15.5K, type=protostellar
183110.2-020438: M=11.46 Msun, T=10.3K, type=prestellar

# Cold protostellar cores (T < 10 K): 1
183638.6-022344: T=9.3K, M=0.85Msun

# Warm prestellar cores (T > 15 K): 26
183054.9-020803: T=16.5K, M=0.09Msun, α=3.90
183055.6-020830: T=15.1K, M=0.27Msun, α=1.90
183112.4-020237: T=16.4K, M=0.38Msun, α=0.90
183113.2-020207: T=16.6K, M=0.26Msun, α=1.70
183114.3-020721: T=20.0K, M=0.40Msun, α=0.60
183119.5-020932: T=21.5K, M=0.10Msun, α=3.10
183120.7-020014: T=15.5K, M=0.28Msun, α=1.10
183123.3-020845: T=20.6K, M=0.18Msun, α=2.00
183123.4-021436: T=15.3K, M=0.42Msun, α=1.60
183124.5-015747: T=16.5K, M=0.36Msun, α=1.20
183129.7-015611: T=16.5K, M=0.42Msun, α=2.40
183130.3-021350: T=15.8K, M=0.53Msun, α=1.50
183133.6-020410: T=19.7K, M=0.65Msun, α=0.50
183135.8-020349: T=18.4K, M=0.90Msun, α=0.30
183139.2-020331: T=18.7K, M=1.55Msun, α=0.20
183141.1-022323: T=18.5K, M=0.14Msun, α=4.00
183144.4-020058: T=20.0K, M=0.13Msun, α=4.00
183145.9-015946: T=15.4K, M=0.82Msun, α=0.70
183146.6-020543: T=18.1K, M=0.51Msun, α=0.60
183147.0-020425: T=16.1K, M=3.47Msun, α=0.20
183148.5-020835: T=16.9K, M=0.39Msun, α=1.60
183151.3-015751: T=15.2K, M=0.78Msun, α=0.80
183151.9-020711: T=26.8K, M=0.06Msun, α=4.60
183153.3-020335: T=15.5K, M=0.75Msun, α=0.80
183200.8-020539: T=17.5K, M=0.18Msun, α=2.70
183205.8-015901: T=15.6K, M=0.08Msun, α=4.50

# Bound starless cores (α_BE < 2): 0
