|
| TABLE A.1: Catalog of dense cores identified in the Herschel Gould Belt survey maps of the Corona Australis molecular cloudPublished in 
|
| Published in Bresnahan, D.W. et al. 2017: "The dense cores and filamentary structure of the molecular cloud in Corona Australis: Herschel SPIRE and PACS observations from the Herschel Gould Belt Survey"
|
| "First-generation" product from the Herschel Gould Belt survey (HGBS - Andre et al. 2010, A&A, 518, L102)
|
| Acknowledgements: If you use this HGBS product for a publication, please refer to the above two papers (Bresnahan et al. 2017 and Andre et al. 2010).
|
| Description of columns:
|
| (1)      Core running number.
| (2)      Core name. The full name consists of the HGBS_J prefix followed by the tabulated label derived from J2000 sexagesimal coordinates.
| (3)      Core right ascension (J2000}
| (4)      Core declination (J2000)
| (5)      Sig_70: Detection significance from monochromatic single scales in the image at the specified wavelength. Non-detections receive a value of 0.0
| (6-7)    (I_70)peak: Estimate of the peak intensity and its uncertainty [Jy/beam].
| (8)      (I_70)peak/Ibg: Contrast of the peak intensity over the local background.
| (9)      (I_70)conv,500: Peak intensity after smoothing to a resolution corresponding to the 500 micron beam [Jy/beam].
| (10-11)  S_70: Estimate of the total flux and its uncertainty [Jy].
| (12)     a_70: Estimate of source size (FWHM) along major axis [arcsec].
| (13)     b_70: Estimate of source size (FWHM) along minor axis [arcsec].
| (14)     PA_70: Position angle of source major axis, east of north [deg].
| (15)     Sig_160: Detection significance from monochromatic single scales in the image at the specified wavelength. Non-detections receive a value of 0.0
| (16-17)  (I_160)peak: Estimate of the peak intensity and its uncertainty [Jy/beam].
| (18)     (I_160)peak/Ibg: Contrast of the peak intensity over the local background.
| (19)     (I_160)conv,500: Peak intensity after smoothing to a resolution corresponding to the 500 micron beam [Jy/beam].
| (20-21)  S_160: Estimate of the total flux and its uncertainty [Jy].
| (22)     a_160: Estimate of source size (FWHM) along major axis [arcsec].
| (23)     b_160: Estimate of source size (FWHM) along minor axis [arcsec].
| (24)     PA_160: Position angle of source major axis, east of north [deg].
| (25)     Sig_250: Detection significance from monochromatic single scales in the image at the specified wavelength. Non-detections receive a value of 0.0
| (26-27)  (I_250)peak: Estimate of the peak intensity and its uncertainty [Jy/beam].
| (28)     (I_250)peak/Ibg: Contrast of the peak intensity over the local background.
| (29)     (I_250)conv,500: Peak intensity after smoothing to a resolution corresponding to the 500 micron beam [Jy/beam].
| (30-31)  S_250: Estimate of the total flux and its uncertainty [Jy].
| (32)     a_250: Estimate of source size (FWHM) along major axis [arcsec].
| (33)     b_250: Estimate of source size (FWHM) along minor axis [arcsec].
| (34)     PA_250: Position angle of source major axis, east of north [deg].
| (35)     Sig_350: Detection significance from monochromatic single scales in the image at the specified wavelength. Non-detections receive a value of 0.0
| (36-37)  (I_350)peak: Estimate of the peak intensity and its uncertainty [Jy/beam].
| (38)     (I_350)peak/Ibg: Contrast of the peak intensity over the local background.
| (39)     (I_350)conv,500: Peak intensity after smoothing to a resolution corresponding to the 500 micron beam [Jy/beam].
| (40-41)  S_350: Estimate of the total flux and its uncertainty [Jy].
| (42)     a_350: Estimate of source size (FWHM) along major axis [arcsec].
| (43)     b_350: Estimate of source size (FWHM) along minor axis [arcsec].
| (44)     PA_350: Position angle of source major axis, east of north [deg].
| (45)     Sig_500: Detection significance from monochromatic single scales in the image at the specified wavelength. Non-detections receive a value of 0.0
| (46-47)  (I_500)peak: Estimate of the peak intensity and its uncertainty [Jy/beam].
| (48)     (I_500)peak/Ibg: Contrast of the peak intensity over the local background.
| (49-50)  S_500: Estimate of the total flux and its uncertainty Jy].
| (51)     a_500: Estimate of source size (FWHM) along major axis [arcsec].
| (52)     b_500: Estimate of source size (FWHM) along minor axis [arcsec].
| (53)     PA_500: Position angle of source major axis, east of north [deg].
| (54)     Sig(N_H2)): Detection significance from single scales on high-res column density map
| (55)     (N_H2)peak: Peak column density at 18.2" resolution, estimated by getsources [10^21 cm^-2]
| (56)     (N_H2)peak/(N_H2)bg: Contrast of peak column density over the local background.
| (57)     (N_H2)conv,500: Peak column density estimated by getsources after smoothing to a resolution corresponding to the 500 micron beam [10^21 cm^-2].
| (58)     (N_H2)bg: Column density of local background [10^21 cm^-2].
| (59)     a_(N_H2): Estimate of source size (FWHM) along major axis in column density map [arcsec].
| (60)     b_(N_H2): Estimate of source size (FWHM) along minor axis in column density map [arcsec].
| (61)     PA_(N_H2): Position angle of source major axis in column density map [deg].
| (62)     N_SED: Number of bands in which the source is significant (Sig_lambda > 5)
| (63)     CSAR flag, equal to 1 if source found independently by CSAR within 6" of getsources source, 2 if source found within source 50% elliptical contour of getsources source, 3 if source found within the mask regions extracted using CSAR, and 0 otherwise.
| (64)     CuTEx flag, equal to 1 if source found independently by CuTEx within 6" of getsources source, 2 if source found within source 50% elliptical contour of getsources source, and 0 otherwise.
| (65)     Core type:  1=unbound starless, 2=prestellar, 3=candidate prestellar (non-robust), 4=dense core with embedded protostar, or -1=tentative additional candidate core
| (66)     SIMBAD association: Gives the names of the WISE candidate as found in Marton et al. 2016 all-sky YSO catalogue.
| (67)     WISE association: Gives the names of the WISE candidate as found in Marton et al. 2016 all-sky YSO catalogue.
| (68)     Spitzer association: Gives the names of the Spitzer candidate as found in Peterson et al. 2011 Spitzer Gould Belt Survey catalogue, as found in tables 4 and 7.
| (69)     Comments.
|     (1)        (2)             (3)           (4)          (5)	    (6)	            (7)	             (8)	    (9)	           (10)	           (11)	        (12)	(13)	(14)	(15)	   (16)	           (17)	             (18)	   (19)	           (20)	           (21)	        (22)	(23)	(24)	(25)	 (26)	            (27)	     (28)	   (29)	           (30)	           (31)	        (32)    (33)	(34)	 (35)	    (36)	   (37)	             (38)	    (39)	   (40)	           (41)	        (42)	(43)	(44)	(45)	   (46)	           (47)	             (48)	 (49)	   (50)	        (51)    (52)	(53)	(54)	  (55)	    (56)	   (57)    (58) (59)	(60)	(61)  (62)       (63)    (64)  (65)             (66)                                       (67)          (68)                       (69)
|
       1  185752.5-371441   18 57 52.59   -37 14 41.2      125	 1.60e+00	 1.69e-02	    78.56	 5.70e+01	 2.49e+00	 2.63e-02	 10	  8	 87	  52	 1.34e+00	 2.57e-02	    12.43	 3.81e+01	 1.32e+00	 2.54e-02	 13	 13	141	  34	 4.23e-01	 1.06e-02	     3.53	 1.06e+01	 3.69e-01	 9.26e-03	 18	 18	124	  11	 1.56e-01	 1.31e-02	     1.81	 4.05e+00	 1.31e-01	 1.10e-02	 24	 24	138	-999	 5.41e-02	 2.01e-02	     0.42      1.83e-02	 6.81e-03	 36	 36	156	  14	  0.69	     2.19	   0.17	   0.32	 18	 18	123	4	   0	   2	-1	LEDA 90315                              	             	CrA- 2       	spatially unresolved in col. dens, low mass candidate                                               
       2  185754.9-371433   18 57 54.91   -37 14 33.8       14	 2.20e-01	 1.65e-02	    25.31	 7.17e+00	 3.23e-01	 2.42e-02	  9	  8	108	  20	 5.17e-01	 2.79e-02	     5.03	 1.61e+01	 6.32e-01	 3.41e-02	 15	 13	 93	  24	 3.05e-01	 1.09e-02	     2.39	 7.65e+00	 2.59e-01	 9.29e-03	 18	 18	 67	   8	 1.22e-01	 1.34e-02	     1.32	 3.15e+00	 1.10e-01	 1.21e-02	 24	 24	 47	-999	 3.42e-02	 2.04e-02	     0.28      1.34e-02	 8.04e-03	 36	 36	 54	  11	  0.55	     1.36	   0.14	   0.41	 18	 18	 44	4	   0	   2	-1	2MASX J18575481-3714346                 	             	             	spatially unresolved in col. dens, low mass candidate                                               
       3  185936.3-370208   18 59 36.37   -37 02 08.1     -999	 7.44e-03	 7.84e-03	     0.48	 1.81e+00	 6.59e-02	 6.94e-02	 43	 25	 50	-999	 9.42e-03	 1.63e-02	     0.03	 1.08e+00	 9.52e-02	 1.65e-01	 41	 34	  1	   9	 1.30e-01	 1.88e-02	     0.24	 5.27e+00	 2.92e-01	 4.24e-02	 43	 18	 98	   7	 1.29e-01	 2.06e-02	     0.24	 4.14e+00	 1.45e-01	 2.32e-02	 42	 24	 95	-999	 7.25e-02	 2.59e-02	     0.12      4.11e-02	 1.47e-02	 42	 36	 95	   8	  0.60	     0.37	   0.23	   1.62	 35	 18	 97	2	   0	   0	 1	                                        	             	             	no SED fit                                                                                          
       4  185941.6-371156   18 59 41.69   -37 11 56.7       17	 2.15e-01	 1.48e-02	    17.83	 7.75e+00	 4.41e-01	 3.02e-02	 10	  8	135	  38	 9.44e-01	 2.31e-02	     3.09	 3.29e+01	 1.48e+00	 3.61e-02	 17	 13	117	  45	 6.29e-01	 1.47e-02	     1.34	 1.74e+01	 7.25e-01	 1.69e-02	 20	 18	113	  18	 2.81e-01	 9.65e-03	     0.66	 7.30e+00	 2.67e-01	 9.15e-03	 24	 24	115	   8	 1.18e-01	 1.41e-02	     0.32      1.02e-01	 1.21e-02	 36	 36	128	  18	  1.06	     0.93	   0.27	   1.14	 18	 18	108	5	   2	   2	 4	2MFGC 14676                             	             	             	spatially unresolved in col. dens                                                                   
       5  190008.1-370137   19 00 08.16   -37 01 37.9        8	-2.30e-02	 2.91e-03	    -4.47	-3.03e+00	-1.17e-01	 1.49e-02	 59	 10	100	  12	 1.70e-01	 2.56e-02	     0.28	 1.77e+01	 1.24e+00	 1.86e-01	 42	 28	 64	  25	 3.58e-01	 2.92e-02	     0.32	 1.68e+01	 1.17e+00	 9.55e-02	 37	 24	 54	  22	 3.55e-01	 2.91e-02	     0.32	 1.11e+01	 6.59e-01	 5.40e-02	 36	 25	 64	  14	 2.36e-01	 4.76e-02	     0.23      2.57e-01	 5.18e-02	 42	 36	 67	  19	  1.28	     0.41	   0.59	   3.15	 35	 24	 53	4	   2	   1	 3	                                        	             	             	                                                                                                    
       6  190011.2-365728   19 00 11.24   -36 57 28.5       16	-2.14e-02	 1.30e-03	   -44.00	-6.94e+00	-1.33e-01	 8.11e-03	 64	 34	148	   7	 1.12e-01	 2.19e-02	     0.20	 8.85e+00	 6.01e-01	 1.18e-01	 59	 16	 77	  13	 1.74e-01	 3.23e-02	     0.19	 8.47e+00	 6.29e-01	 1.17e-01	 40	 24	 69	  11	 1.62e-01	 4.71e-02	     0.18	 6.02e+00	 4.82e-01	 1.41e-01	 41	 35	 76	   9	 1.57e-01	 6.13e-02	     0.19      2.44e-01	 9.52e-02	 42	 37	 39	   8	  0.53	     0.21	   0.28	   2.55	 40	 29	 79	4	   0	   1	 1	2MASS J19001553-3657578                 	             	             	                                                                                                    
       7  190016.6-370043   19 00 16.68   -37 00 43.5        2	-1.42e-02	 8.05e-03	    -0.68	-3.83e+00	-9.13e-03	 5.17e-03	 55	 26	 76	  20	 2.88e-01	 7.26e-02	     0.34	 2.85e+01	 2.21e+00	 5.57e-01	 44	 25	 68	  37	 5.70e-01	 4.15e-02	     0.42	 3.18e+01	 2.75e+00	 2.01e-01	 43	 30	 82	  31	 5.30e-01	 4.24e-02	     0.40	 1.98e+01	 1.59e+00	 1.27e-01	 44	 33	 84	  23	 4.22e-01	 5.39e-02	     0.35      6.58e-01	 8.40e-02	 49	 36	 84	  20	  1.49	     0.45	   0.83	   3.29	 40	 31	 85	4	   2	   2	 3	                                        	             	             	                                                                                                    
       8  190021.9-370008   19 00 21.90   -37 00 08.5     -999	 6.10e-03	 1.05e-02	     0.15	 2.28e+00	 2.09e-01	 3.59e-01	 63	 47	 23	  13	 1.29e-01	 5.18e-02	     0.13	 9.22e+00	 6.99e-01	 2.80e-01	 57	 14	114	  22	 3.33e-01	 5.70e-02	     0.24	 1.82e+01	 1.48e+00	 2.54e-01	 40	 30	120	  17	 2.90e-01	 4.66e-02	     0.21	 9.91e+00	 6.82e-01	 1.10e-01	 43	 27	126	  10	 2.38e-01	 5.48e-02	     0.19      3.17e-01	 7.32e-02	 46	 36	128	  11	  0.84	     0.26	   0.43	   3.31	 39	 27	125	4	   3	   0	 3	                                        	             	             	no SED fit                                                                                          
       9  190023.0-365835   19 00 23.06   -36 58 35.4     -999	 1.11e-02	 1.12e-02	     0.32	 4.51e+00	-2.16e-03	-2.17e-03	 66	 59	 68	  12	 1.17e-01	 5.42e-02	     0.14	 1.40e+01	 1.30e+00	 6.01e-01	 60	 30	114	  21	 2.93e-01	 3.24e-02	     0.19	 1.49e+01	 1.17e+00	 1.29e-01	 44	 25	115	  19	 2.89e-01	 4.08e-02	     0.19	 9.64e+00	 6.70e-01	 9.44e-02	 46	 25	110	  15	 3.07e-01	 7.31e-02	     0.22      4.82e-01	 1.15e-01	 50	 36	102	  11	  0.73	     0.15	   0.31	   4.76	 44	 18	108	4	   0	   0	 3	DOBASHI 7605                            	             	             	                                                                                                    
      10  190023.5-371224   19 00 23.54   -37 12 24.8       21	 2.23e-01	 1.48e-02	     1.06	 1.52e+01	 9.35e-01	 6.18e-02	 14	 12	106	  49	 9.94e-01	 2.35e-02	     5.99	 4.19e+01	 2.59e+00	 6.11e-02	 18	 15	103	  53	 7.60e-01	 1.85e-02	     4.32	 2.29e+01	 1.39e+00	 3.39e-02	 21	 19	 59	  25	 4.10e-01	 1.29e-02	     2.78	 1.09e+01	 5.50e-01	 1.74e-02	 26	 24	 30	  12	 1.79e-01	 1.85e-02	     1.46      1.73e-01	 1.79e-02	 36	 36	 40	  19	  1.33	     2.67	   0.37	   0.50	 20	 18	 30	5	   2	   2	 4	6dFGS gJ190023.5-371224                 	             	CrA-39       	                                                                                                    
