sim,f,beta,seed,t_frag,W_form,W_fil,T1
T1P_f1p0_b0p5_s1,1.0,0.5,1,0.15000273287296295,0.3423385515682211,0.3531466747540285,0.9693948040333796
T1P_f1p0_b0p5_s2,1.0,0.5,2,0.15000073611736298,0.3239598513275116,0.3353608135607728,0.9660038926068648
T1P_f1p0_b0p5_s3,1.0,0.5,3,0.15000097453594208,0.324226044341164,0.3356179641037089,0.9660568831797551
T1P_f1p0_b1p0_s1,1.0,1.0,1,0.15000058710575104,0.37086220516868396,0.3808617402976821,0.9737449733827753
T1P_f1p0_b1p0_s2,1.0,1.0,2,0.1500021070241928,0.3353445717204132,0.3463710030911181,0.9681658358456633
T1P_f1p0_b1p0_s3,1.0,1.0,3,0.15000535547733307,0.33519408550935276,0.34622530953188746,0.9681385972693636
T1P_f1p0_b2p0_s1,1.0,2.0,1,0.1500014364719391,0.3969807804670223,0.4063380736039956,0.9769716555134023
T1P_f1p0_b2p0_s2,1.0,2.0,2,0.15000486373901367,0.3575893298347308,0.36794975038944094,0.9718428384752412
T1P_f1p0_b2p0_s3,1.0,2.0,3,0.15000347793102264,0.3603513460541689,0.37063456746916007,0.9722550935137835
T1P_f1p2_b0p5_s1,1.2,0.5,1,0.15000393986701965,0.3640000920337334,0.3741830527971121,0.9727861518920792
T1P_f1p2_b0p5_s2,1.2,0.5,2,0.15000160038471222,0.34190936052184784,0.35273063492197404,0.9693214217060564
T1P_f1p2_b0p5_s3,1.2,0.5,3,0.15000279247760773,0.3390692485229109,0.349978349750226,0.9688292111923473
T1P_f1p2_b1p0_s1,1.2,1.0,1,0.15000216662883759,0.39798718288509777,0.4073213568434833,0.9770840055362668
T1P_f1p2_b1p0_s2,1.2,1.0,2,0.15000195801258087,0.3622451580435359,0.37247609926810915,0.9725326235839659
T1P_f1p2_b1p0_s3,1.2,1.0,3,0.1500043421983719,0.36316125451345493,0.3733670938631127,0.9726654021808373
T1P_f1p2_b2p0_s1,1.2,2.0,1,0.1500048190355301,0.44406116823390257,0.4524458101621213,0.9814681852723659
T1P_f1p2_b2p0_s2,1.2,2.0,2,0.15000875294208527,0.3977596520335375,0.4070990429684659,0.9770586762699617
T1P_f1p2_b2p0_s3,1.2,2.0,3,0.15000496804714203,0.399987620636317,0.4092761740711304,0.9773049250768281
