idx,sim_id,morph,f,beta,mach,p_ext,seed,lw,npk,wall,event,t_event,lw_genuine,collapsed,timed_out
1,RCE_f1.2_b0.5_m2.0_p0.1_s2,FULL,1.2,0.5,2.0,0.1,2,,1,241,DT_COLLAPSE,0.08,,True,False
2,RCE_f1.2_b0.5_m2.0_p0.0_s2,FULL,1.2,0.5,2.0,0.0,2,,1,241,DT_COLLAPSE,0.08,,True,False
3,RCE_f1.2_b0.5_m2.0_p0.3_s2,FULL,1.2,0.5,2.0,0.3,2,,1,271,DT_COLLAPSE,0.08,,True,False
4,RCE_f1.2_b0.5_m2.0_p0.0_s1,FULL,1.2,0.5,2.0,0.0,1,,1,1082,GRAV_FRAG,0.085,,True,False
5,RCE_f1.2_b0.5_m2.0_p0.1_s1,FULL,1.2,0.5,2.0,0.1,1,,1,1082,GRAV_FRAG,0.085,,True,False
6,RCE_f1.2_b0.5_m2.0_p0.3_s1,FULL,1.2,0.5,2.0,0.3,1,,1,1082,GRAV_FRAG,0.085,,True,False
7,RCE_f1.2_b0.5_m3.0_p0.0_s1,FULL,1.2,0.5,3.0,0.0,1,,1,241,DT_COLLAPSE,0.075,,True,False
8,RCE_f1.2_b0.5_m2.0_p0.5_s2,FULL,1.2,0.5,2.0,0.5,2,,1,271,DT_COLLAPSE,0.08,,True,False
9,RCE_f1.2_b0.5_m2.0_p0.0_s3,FULL,1.2,0.5,2.0,0.0,3,,1,1382,GRAV_FRAG,0.085,,True,False
10,RCE_f1.2_b0.5_m2.0_p0.1_s3,FULL,1.2,0.5,2.0,0.1,3,,1,1382,GRAV_FRAG,0.085,,True,False
11,RCE_f1.2_b0.5_m3.0_p0.1_s1,FULL,1.2,0.5,3.0,0.1,1,,1,241,DT_COLLAPSE,0.075,,True,False
12,RCE_f1.2_b0.5_m2.0_p0.3_s3,FULL,1.2,0.5,2.0,0.3,3,,1,1382,GRAV_FRAG,0.085,,True,False
13,RCE_f1.2_b0.5_m2.0_p0.5_s1,FULL,1.2,0.5,2.0,0.5,1,,1,1112,GRAV_FRAG,0.085,,True,False
14,RCE_f1.2_b0.5_m3.0_p0.0_s2,FULL,1.2,0.5,3.0,0.0,2,,1,331,DT_COLLAPSE,0.075,,True,False
15,RCE_f1.2_b0.5_m3.0_p0.1_s2,FULL,1.2,0.5,3.0,0.1,2,,1,331,DT_COLLAPSE,0.075,,True,False
16,RCE_f1.2_b0.5_m3.0_p0.3_s1,FULL,1.2,0.5,3.0,0.3,1,,1,241,DT_COLLAPSE,0.075,,True,False
17,RCE_f1.2_b0.5_m3.0_p0.3_s2,FULL,1.2,0.5,3.0,0.3,2,,1,331,DT_COLLAPSE,0.075,,True,False
18,RCE_f1.2_b0.5_m3.0_p0.5_s1,FULL,1.2,0.5,3.0,0.5,1,,1,271,DT_COLLAPSE,0.075,,True,False
