run_id,tag,f,beta,mturb,theta,seed,status,runtime_s,lW,lW_status,t_frag,morphology,tau_peak_max,tau_peak_mean,survives_0p1,n_peaks_final,n_peak_events,peak_analysis_status,n_athdf_purged,returncode
RTC_CG_f1p0_b0p3_m2p0_t0_s3,CG,1.0,0.3,2.0,0,3,failed,120.60534954071045,,no_athdf,0.309018,RADIAL_COLLAPSE,0.19952090084552765,0.13959606736898422,True,4,4,ok,31,-2
RTC_CG_f1p0_b0p3_m2p0_t90_s3,CG,1.0,0.3,2.0,90,3,failed,301.3703682422638,,no_athdf,0.339035,RADIAL_COLLAPSE,0.22925028949975967,0.1347117517143488,True,3,4,ok,34,-2
RTC_CG_f1p0_b0p3_m2p0_t90_s1,CG,1.0,0.3,2.0,90,1,failed,406.93883061408997,,no_athdf,0.368,RADIAL_COLLAPSE,0.21957512199878693,0.14291473726431528,True,2,3,ok,37,-2
RTC_CG_f1p0_b0p3_m2p0_t90_s2,CG,1.0,0.3,2.0,90,2,failed,406.9180951118469,,no_athdf,0.338033,RADIAL_COLLAPSE,0.22992512583732605,0.10996200144290924,True,2,3,ok,34,-2
RTC_CG_f1p0_b0p3_m2p0_t0_s2,CG,1.0,0.3,2.0,0,2,failed,467.3260598182678,,no_athdf,0.327005,RADIAL_COLLAPSE,0.2200881913304329,0.10171103924512863,True,4,5,ok,33,-2
RTC_CG_f1p0_b0p5_m2p0_t0_s3,CG,1.0,0.5,2.0,0,3,failed,135.6958725452423,,no_athdf,0.308056,RADIAL_COLLAPSE,0.19883286207914352,0.13930381648242474,True,4,4,ok,31,-2
RTC_CG_f1p0_b0p5_m2p0_t90_s1,CG,1.0,0.5,2.0,90,1,failed,271.3210813999176,,no_athdf,0.358034,RADIAL_COLLAPSE,0.20956794917583466,0.13320513566335043,True,2,3,ok,36,-2
RTC_CG_f1p0_b0p5_m2p0_t90_s2,CG,1.0,0.5,2.0,90,2,failed,301.51258397102356,,no_athdf,0.331019,RADIAL_COLLAPSE,0.22906926274299622,0.09953729063272476,True,3,4,ok,34,-2
RTC_CG_f1p0_b0p5_m2p0_t90_s3,CG,1.0,0.5,2.0,90,3,failed,1040.0903165340424,,no_athdf,0.358011,RADIAL_COLLAPSE,0.24968358129262924,0.1669881585985422,True,2,4,ok,36,-2
RTC_CG_f1p0_b0p5_m2p0_t0_s1,CG,1.0,0.5,2.0,0,1,failed,2170.4583060741425,,no_athdf,0.387,RADIAL_COLLAPSE,0.23948617279529572,0.09237427583762578,True,4,7,ok,39,-2
RTC_CG_f1p0_b1p0_m2p0_t0_s2,CG,1.0,1.0,2.0,0,2,failed,1778.382455587387,,no_athdf,0.321,RADIAL_COLLAPSE,0.21926163136959076,0.10176604092121125,True,4,5,ok,33,-2
RTC_CG_f1p0_b1p0_m2p0_t90_s1,CG,1.0,1.0,2.0,90,1,failed,376.8312363624573,,no_athdf,0.336014,RADIAL_COLLAPSE,0.19006970524787903,0.0946120172739029,True,2,4,ok,34,-2
RTC_CG_f1p0_b1p0_m2p0_t90_s2,CG,1.0,1.0,2.0,90,2,failed,226.0252034664154,,no_athdf,0.307027,RADIAL_COLLAPSE,0.19998924434185028,0.11982363959153493,True,3,3,ok,31,-2
RTC_CG_f1p0_b1p0_m2p0_t90_s3,CG,1.0,1.0,2.0,90,3,failed,135.67397689819336,,no_athdf,0.30607,RADIAL_COLLAPSE,0.1990954726934433,0.13679750636219978,True,4,4,ok,31,-2
RTC_CG_f1p0_b0p3_m2p0_t0_s1,CG,1.0,0.3,2.0,0,1,failed,3798.2767066955566,,no_athdf,0.386,RADIAL_COLLAPSE,0.2391619086265564,0.09111058924879346,True,4,7,ok,39,-2
RTC_CG_f1p0_b1p0_m2p0_t0_s1,CG,1.0,1.0,2.0,0,1,failed,3511.7843532562256,,no_athdf,0.400001,RADIAL_COLLAPSE,0.25981834530830383,0.09112431667745113,True,5,8,ok,41,-2
RTC_CG_f1p0_b0p5_m2p0_t0_s2,CG,1.0,0.5,2.0,0,2,failed,3949.2071442604065,,no_athdf,0.329,RADIAL_COLLAPSE,0.21969807147979736,0.10177241861820222,True,4,5,ok,33,-2
RTC_CG_f1p0_b2p0_m2p0_t0_s1,CG,1.0,2.0,2.0,0,1,failed,1522.4234549999237,,no_athdf,0.387,RADIAL_COLLAPSE,0.2386689931154251,0.09251698638711657,True,4,7,ok,39,-2
RTC_CG_f1p0_b2p0_m2p0_t90_s1,CG,1.0,2.0,2.0,90,1,failed,120.61083030700684,,no_athdf,0.337036,RADIAL_COLLAPSE,0.18887144327163696,0.09929632022976875,True,3,4,ok,34,-2
RTC_CG_f1p0_b2p0_m2p0_t90_s2,CG,1.0,2.0,2.0,90,2,failed,180.90780758857727,,no_athdf,0.299154,RADIAL_COLLAPSE,0.18945297598838806,0.0924709104001522,True,3,4,ok,30,-2
RTC_CG_f1p2_b0p3_m2p0_t0_s2,CG,1.2,0.3,2.0,0,2,failed,135.59302926063538,,no_athdf,0.310006,RADIAL_COLLAPSE,0.20875167101621628,0.09747089892625808,True,4,5,ok,32,-2
RTC_CG_f1p0_b2p0_m2p0_t90_s3,CG,1.0,2.0,2.0,90,3,failed,512.5457870960236,,no_athdf,0.357013,RADIAL_COLLAPSE,0.24840600788593292,0.1791374683380127,True,3,4,ok,36,-2
RTC_CG_f1p2_b0p3_m2p0_t90_s1,CG,1.2,0.3,2.0,90,1,failed,452.15481758117676,,no_athdf,0.353022,RADIAL_COLLAPSE,0.20996402204036713,0.13656583428382874,True,2,3,ok,36,-2
RTC_CG_f1p2_b0p3_m2p0_t90_s2,CG,1.2,0.3,2.0,90,2,failed,180.85958409309387,,no_athdf,0.310024,RADIAL_COLLAPSE,0.2088250145316124,0.09928254534800847,True,2,3,ok,32,-2
RTC_CG_f1p2_b0p3_m2p0_t0_s3,CG,1.2,0.3,2.0,0,3,failed,1024.9486243724823,,no_athdf,0.379022,RADIAL_COLLAPSE,0.2692665681242943,0.16350899487733841,True,4,5,ok,38,-2
RTC_CG_f1p2_b0p3_m2p0_t90_s3,CG,1.2,0.3,2.0,90,3,failed,286.34741377830505,,no_athdf,0.316057,RADIAL_COLLAPSE,0.20936135202646255,0.12183641828596592,True,3,4,ok,32,-2
RTC_CG_f1p2_b0p5_m2p0_t0_s1,CG,1.2,0.5,2.0,0,1,failed,150.68440413475037,,no_athdf,0.342042,RADIAL_COLLAPSE,0.19974595308303833,0.08152564615011215,True,3,6,ok,35,-2
RTC_CG_f1p2_b0p5_m2p0_t0_s3,CG,1.2,0.5,2.0,0,3,failed,90.46485209465027,,no_athdf,0.281414,RADIAL_COLLAPSE,0.17908058315515518,0.119668735191226,True,4,4,ok,29,-2
RTC_CG_f1p2_b0p5_m2p0_t0_s2,CG,1.2,0.5,2.0,0,2,failed,120.58111667633057,,no_athdf,0.301188,RADIAL_COLLAPSE,0.19979219138622284,0.09184857904911041,True,3,5,ok,31,-2
