sim_id,campaign,f,beta,mach,theta,seed,morphology,fragmented,t_frag,grav_ratio,lW_v2,hgbs_match_v2,lW_refined,lW_flag,n_peaks,lambda_phys,lambda_std,W_fwhm,contrast,snap_used,hgbs_match_refined
HGBS_REVERIFY_f1.0_b2.0_M3.0_s6,P1,1.0,2.0,3.0,0,6,FULL,True,0.1308,814.05,2.4479,False,4.8468,ok,3,1.9688,0.125,0.4062,4.918,HGBS_REVERIFY_f1.0_b2.0_M3.0_s6.prim.00005.athdf,False
HGBS_REVERIFY_f1.1_b2.0_M2.5_s6,P1,1.1,2.0,2.5,0,6,FULL,True,0.161,622.07,2.3958,False,8.141,ok,3,1.7812,0.0625,0.2188,7.793,HGBS_REVERIFY_f1.1_b2.0_M2.5_s6.prim.00006.athdf,False
HGBS_REVERIFY_f1.1_b2.0_M3.0_s6,P1,1.1,2.0,3.0,0,6,FULL,True,0.1406,667.99,2.4479,False,5.7264,ok,3,1.9688,0.125,0.3438,5.07,HGBS_REVERIFY_f1.1_b2.0_M3.0_s6.prim.00005.athdf,False
HGBS_REVERIFY_f1.1_b2.0_M3.5_s6,P1,1.1,2.0,3.5,0,6,FULL,True,0.1252,642.57,2.3438,False,6.3345,ok,3,1.7812,0.0625,0.2812,7.447,HGBS_REVERIFY_f1.1_b2.0_M3.5_s6.prim.00005.athdf,False
HGBS_REVERIFY_f1.2_b2.0_M2.5_s6,P1,1.2,2.0,2.5,0,6,FULL,True,0.1653,505.69,2.3958,False,8.0696,ok,3,1.7656,0.0781,0.2188,7.794,HGBS_REVERIFY_f1.2_b2.0_M2.5_s6.prim.00006.athdf,False
HGBS_REVERIFY_f1.2_b2.0_M3.0_s6,P1,1.2,2.0,3.0,0,6,FULL,True,0.1458,562.93,2.4479,False,7.0012,ok,3,1.9688,0.125,0.2812,5.193,HGBS_REVERIFY_f1.2_b2.0_M3.0_s6.prim.00005.athdf,False
HGBS_f1.0_b2.0_M2.5_s0,P1,1.0,2.0,2.5,0,0,FULL,True,0.15,804.72,7.2656,False,4.1769,ok_irregular,5,2.2188,1.4244,0.5312,2.16,HGBS_f1.0_b2.0_M2.5_s0.prim.00004.athdf,False
HGBS_f1.0_b2.0_M2.5_s12,P1,1.0,2.0,2.5,0,12,FULL,True,0.1508,641.04,9.6354,False,11.1321,low_confidence,2,5.2188,0.0,0.4688,3.285,HGBS_f1.0_b2.0_M2.5_s12.prim.00011.athdf,False
HGBS_f1.0_b2.0_M2.5_s18,P1,1.0,2.0,2.5,0,18,FULL,True,0.1507,908.52,3.8021,False,12.4718,ok,3,6.625,2.5312,0.5312,2.282,HGBS_f1.0_b2.0_M2.5_s18.prim.00004.athdf,False
HGBS_f1.0_b2.0_M2.5_s24,P1,1.0,2.0,2.5,0,24,FULL,True,0.15,952.14,8.8021,False,29.0867,low_confidence,2,10.0,0.0,0.3438,4.423,HGBS_f1.0_b2.0_M2.5_s24.prim.00013.athdf,False
HGBS_f1.0_b2.0_M2.5_s30,P1,1.0,2.0,2.5,0,30,FULL,True,0.1505,1213.94,1.5104,False,7.284,ok_irregular,5,1.5938,0.9077,0.2188,4.965,HGBS_f1.0_b2.0_M2.5_s30.prim.00016.athdf,False
HGBS_f1.0_b2.0_M2.5_s6,P1,1.0,2.0,2.5,0,6,FULL,True,0.1505,737.58,1.5365,False,7.284,ok,3,1.5938,0.0312,0.2188,9.441,HGBS_f1.0_b2.0_M2.5_s6.prim.00016.athdf,False
HGBS_f1.0_b2.0_M3.0_s0,P1,1.0,2.0,3.0,0,0,FULL,True,0.1303,707.55,1.1458,False,1.8237,ok_irregular,4,0.9688,3.2131,0.5312,2.649,HGBS_f1.0_b2.0_M3.0_s0.prim.00004.athdf,False
HGBS_f1.0_b2.0_M3.0_s12,P1,1.0,2.0,3.0,0,12,FULL,True,0.131,649.21,9.6615,False,9.8245,low_confidence,2,5.2188,0.0,0.5312,3.485,HGBS_f1.0_b2.0_M3.0_s12.prim.00004.athdf,False
HGBS_f1.0_b2.0_M3.0_s18,P1,1.0,2.0,3.0,0,18,FULL,True,0.1309,672.99,2.7083,True,7.2625,ok,4,4.3125,1.6972,0.5938,1.859,HGBS_f1.0_b2.0_M3.0_s18.prim.00003.athdf,False
HGBS_f1.0_b2.0_M3.0_s24,P1,1.0,2.0,3.0,0,24,FULL,True,0.1303,734.09,13.0729,False,12.4989,ok,3,7.4219,1.4531,0.5938,1.817,HGBS_f1.0_b2.0_M3.0_s24.prim.00003.athdf,False
HGBS_f1.0_b2.0_M3.0_s30,P1,1.0,2.0,3.0,0,30,FULL,True,0.1307,787.91,1.5625,False,7.0698,ok_irregular,5,1.5469,0.9277,0.2188,5.252,HGBS_f1.0_b2.0_M3.0_s30.prim.00006.athdf,False
HGBS_f1.0_b2.0_M3.0_s6,P1,1.0,2.0,3.0,0,6,FULL,True,0.1308,731.26,2.5521,True,6.9984,ok,3,1.5312,0.0,0.2188,10.063,HGBS_f1.0_b2.0_M3.0_s6.prim.00015.athdf,False
HGBS_f1.0_b2.0_M3.5_s0,P1,1.0,2.0,3.5,0,0,FULL,True,0.1155,657.93,7.2917,False,8.6773,ok_irregular,3,4.6094,3.1719,0.5312,3.333,HGBS_f1.0_b2.0_M3.5_s0.prim.00004.athdf,False
HGBS_f1.0_b2.0_M3.5_s12,P1,1.0,2.0,3.5,0,12,FULL,True,0.1152,659.12,9.6354,False,7.1434,ok,3,4.6875,0.3438,0.6562,1.61,HGBS_f1.0_b2.0_M3.5_s12.prim.00002.athdf,False
HGBS_f1.0_b2.0_M3.5_s18,P1,1.0,2.0,3.5,0,18,FULL,True,0.1151,711.8,2.4479,False,11.1043,ok,3,6.5938,2.4062,0.5938,2.134,HGBS_f1.0_b2.0_M3.5_s18.prim.00003.athdf,False
HGBS_f1.0_b2.0_M3.5_s24,P1,1.0,2.0,3.5,0,24,FULL,True,0.1156,757.44,12.8125,False,18.3547,low_confidence,2,9.75,0.0,0.5312,3.589,HGBS_f1.0_b2.0_M3.5_s24.prim.00004.athdf,False
HGBS_f1.0_b2.0_M3.5_s30,P1,1.0,2.0,3.5,0,30,FULL,True,0.1159,922.68,1.6667,False,2.4618,ok_irregular,4,1.0,0.7824,0.4062,4.038,HGBS_f1.0_b2.0_M3.5_s30.prim.00005.athdf,False
HGBS_f1.0_b2.0_M3.5_s6,P1,1.0,2.0,3.5,0,6,FULL,True,0.116,853.58,2.3438,False,5.2265,ok,3,1.7969,0.0781,0.3438,7.311,HGBS_f1.0_b2.0_M3.5_s6.prim.00005.athdf,False
HGBS_f1.1_b2.0_M2.5_s0,P1,1.1,2.0,2.5,0,0,FULL,True,0.1607,568.03,7.2656,False,4.1769,ok_irregular,5,2.2188,1.4244,0.5312,2.161,HGBS_f1.1_b2.0_M2.5_s0.prim.00004.athdf,False
HGBS_f1.1_b2.0_M2.5_s12,P1,1.1,2.0,2.5,0,12,FULL,True,0.1561,530.1,1.276,False,9.7068,low_confidence,2,5.1562,0.0,0.5312,2.661,HGBS_f1.1_b2.0_M2.5_s12.prim.00004.athdf,False
HGBS_f1.1_b2.0_M2.5_s18,P1,1.1,2.0,2.5,0,18,FULL,True,0.1606,546.25,2.4219,False,12.4718,ok,3,6.625,2.5312,0.5312,2.302,HGBS_f1.1_b2.0_M2.5_s18.prim.00004.athdf,False
HGBS_f1.1_b2.0_M2.5_s24,P1,1.1,2.0,2.5,0,24,FULL,True,0.156,721.45,8.8021,False,7.3678,ok_irregular,4,4.375,2.895,0.5938,1.614,HGBS_f1.1_b2.0_M2.5_s24.prim.00003.athdf,False
HGBS_f1.1_b2.0_M2.5_s30,P1,1.1,2.0,2.5,0,30,FULL,True,0.1611,627.31,1.6667,False,4.4276,ok_irregular,4,0.9688,0.7824,0.2188,4.215,HGBS_f1.1_b2.0_M2.5_s30.prim.00006.athdf,False
HGBS_f1.1_b2.0_M2.5_s6,P1,1.1,2.0,2.5,0,6,FULL,True,0.161,622.07,2.3958,False,8.141,ok,3,1.7812,0.0625,0.2188,7.793,HGBS_f1.1_b2.0_M2.5_s6.prim.00006.athdf,False
HGBS_f1.1_b2.0_M3.0_s0,P1,1.1,2.0,3.0,0,0,FULL,True,0.1404,671.52,1.0938,False,1.8237,ok_irregular,4,0.9688,3.2131,0.5312,2.672,HGBS_f1.1_b2.0_M3.0_s0.prim.00004.athdf,False
HGBS_f1.1_b2.0_M3.0_s12,P1,1.1,2.0,3.0,0,12,FULL,True,0.14,579.57,0.8594,False,9.8833,low_confidence,2,5.25,0.0,0.5312,3.522,HGBS_f1.1_b2.0_M3.0_s12.prim.00004.athdf,False
HGBS_f1.1_b2.0_M3.0_s18,P1,1.1,2.0,3.0,0,18,FULL,True,0.1403,551.92,2.6823,True,7.2625,ok,4,4.3125,1.6972,0.5938,1.859,HGBS_f1.1_b2.0_M3.0_s18.prim.00003.athdf,False
HGBS_f1.1_b2.0_M3.0_s24,P1,1.1,2.0,3.0,0,24,FULL,True,0.1405,621.6,13.0729,False,12.4989,ok,3,7.4219,1.4531,0.5938,1.818,HGBS_f1.1_b2.0_M3.0_s24.prim.00003.athdf,False
HGBS_f1.1_b2.0_M3.0_s30,P1,1.1,2.0,3.0,0,30,FULL,True,0.1407,713.03,1.5625,False,7.0698,ok_irregular,5,1.5469,0.9277,0.2188,5.298,HGBS_f1.1_b2.0_M3.0_s30.prim.00006.athdf,False
HGBS_f1.1_b2.0_M3.0_s6,P1,1.1,2.0,3.0,0,6,FULL,True,0.1406,667.99,2.4479,False,5.7264,ok,3,1.9688,0.125,0.3438,5.07,HGBS_f1.1_b2.0_M3.0_s6.prim.00005.athdf,False
HGBS_f1.1_b2.0_M3.5_s0,P1,1.1,2.0,3.5,0,0,FULL,True,0.1258,611.04,7.2917,False,9.8323,ok_irregular,3,4.6094,3.1719,0.4688,3.362,HGBS_f1.1_b2.0_M3.5_s0.prim.00004.athdf,False
HGBS_f1.1_b2.0_M3.5_s12,P1,1.1,2.0,3.5,0,12,FULL,True,0.1208,558.22,9.6354,False,7.1434,ok,3,4.6875,0.3438,0.6562,1.61,HGBS_f1.1_b2.0_M3.5_s12.prim.00002.athdf,False
HGBS_f1.1_b2.0_M3.5_s18,P1,1.1,2.0,3.5,0,18,FULL,True,0.1209,589.48,2.4219,False,11.1043,ok,3,6.5938,2.4062,0.5938,2.135,HGBS_f1.1_b2.0_M3.5_s18.prim.00003.athdf,False
HGBS_f1.1_b2.0_M3.5_s24,P1,1.1,2.0,3.5,0,24,FULL,True,0.1208,712.33,12.8125,False,20.8644,low_confidence,2,9.7812,0.0,0.4688,3.62,HGBS_f1.1_b2.0_M3.5_s24.prim.00004.athdf,False
HGBS_f1.1_b2.0_M3.5_s30,P1,1.1,2.0,3.5,0,30,FULL,True,0.1252,690.84,1.6667,False,2.8178,ok_irregular,4,0.9688,0.7891,0.3438,4.083,HGBS_f1.1_b2.0_M3.5_s30.prim.00005.athdf,True
HGBS_f1.1_b2.0_M3.5_s6,P1,1.1,2.0,3.5,0,6,FULL,True,0.1252,705.47,2.3438,False,6.3345,ok,3,1.7812,0.0625,0.2812,7.447,HGBS_f1.1_b2.0_M3.5_s6.prim.00005.athdf,False
HGBS_f1.2_b2.0_M2.5_s0,P1,1.2,2.0,2.5,0,0,FULL,True,0.1657,482.07,1.4062,False,4.7328,ok_irregular,5,2.2188,1.4244,0.4688,2.177,HGBS_f1.2_b2.0_M2.5_s0.prim.00004.athdf,False
HGBS_f1.2_b2.0_M2.5_s12,P1,1.2,2.0,2.5,0,12,FULL,True,0.1653,450.63,1.276,False,10.9988,low_confidence,2,5.1562,0.0,0.4688,2.664,HGBS_f1.2_b2.0_M2.5_s12.prim.00004.athdf,False
HGBS_f1.2_b2.0_M2.5_s18,P1,1.2,2.0,2.5,0,18,FULL,True,0.1657,469.72,2.9427,True,14.1318,ok,3,6.625,2.5312,0.4688,2.323,HGBS_f1.2_b2.0_M2.5_s18.prim.00004.athdf,False
HGBS_f1.2_b2.0_M2.5_s24,P1,1.2,2.0,2.5,0,24,FULL,True,0.1652,697.5,8.8021,False,28.6322,low_confidence,2,9.8438,0.0,0.3438,3.987,HGBS_f1.2_b2.0_M2.5_s24.prim.00005.athdf,False
HGBS_f1.2_b2.0_M2.5_s30,P1,1.2,2.0,2.5,0,30,FULL,True,0.1655,479.76,1.6667,False,4.4276,ok_irregular,4,0.9688,0.7677,0.2188,4.292,HGBS_f1.2_b2.0_M2.5_s30.prim.00006.athdf,False
HGBS_f1.2_b2.0_M2.5_s6,P1,1.2,2.0,2.5,0,6,FULL,True,0.1653,505.69,2.3958,False,8.0696,ok,3,1.7656,0.0781,0.2188,7.794,HGBS_f1.2_b2.0_M2.5_s6.prim.00006.athdf,False
HGBS_f1.2_b2.0_M3.0_s0,P1,1.2,2.0,3.0,0,0,FULL,True,0.1451,504.21,1.0938,False,2.0664,ok_irregular,4,0.9688,3.2131,0.4688,2.696,HGBS_f1.2_b2.0_M3.0_s0.prim.00004.athdf,False
HGBS_f1.2_b2.0_M3.0_s12,P1,1.2,2.0,3.0,0,12,FULL,True,0.1457,504.49,0.8594,False,11.1988,low_confidence,2,5.25,0.0,0.4688,3.526,HGBS_f1.2_b2.0_M3.0_s12.prim.00004.athdf,False
HGBS_f1.2_b2.0_M3.0_s18,P1,1.2,2.0,3.0,0,18,FULL,True,0.1451,469.92,2.6823,True,7.2625,ok,4,4.3125,1.6972,0.5938,1.859,HGBS_f1.2_b2.0_M3.0_s18.prim.00003.athdf,False
HGBS_f1.2_b2.0_M3.0_s24,P1,1.2,2.0,3.0,0,24,FULL,True,0.1458,454.94,13.0729,False,12.4989,ok,3,7.4219,1.4531,0.5938,1.818,HGBS_f1.2_b2.0_M3.0_s24.prim.00003.athdf,False
HGBS_f1.2_b2.0_M3.0_s30,P1,1.2,2.0,3.0,0,30,FULL,True,0.1459,595.54,1.8229,False,3.2723,ok_irregular,4,1.125,0.7891,0.3438,3.349,HGBS_f1.2_b2.0_M3.0_s30.prim.00005.athdf,False
HGBS_f1.2_b2.0_M3.0_s6,P1,1.2,2.0,3.0,0,6,FULL,True,0.1458,562.93,2.4479,False,7.0012,ok,3,1.9688,0.125,0.2812,5.193,HGBS_f1.2_b2.0_M3.0_s6.prim.00005.athdf,False
HGBS_f1.2_b2.0_M3.5_s0,P1,1.2,2.0,3.5,0,0,FULL,True,0.1302,575.89,7.2917,False,3.7628,ok_irregular,5,2.2344,1.3869,0.5938,2.024,HGBS_f1.2_b2.0_M3.5_s0.prim.00003.athdf,False
HGBS_f1.2_b2.0_M3.5_s12,P1,1.2,2.0,3.5,0,12,FULL,True,0.1308,470.41,9.6615,False,7.1672,ok,3,4.7031,0.3594,0.6562,1.621,HGBS_f1.2_b2.0_M3.5_s12.prim.00002.athdf,False
HGBS_f1.2_b2.0_M3.5_s18,P1,1.2,2.0,3.5,0,18,FULL,True,0.1303,544.06,2.4219,False,11.1043,ok,3,6.5938,2.4062,0.5938,2.135,HGBS_f1.2_b2.0_M3.5_s18.prim.00003.athdf,False
HGBS_f1.2_b2.0_M3.5_s24,P1,1.2,2.0,3.5,0,24,FULL,True,0.1301,603.7,8.8542,False,20.8644,low_confidence,2,9.7812,0.0,0.4688,3.658,HGBS_f1.2_b2.0_M3.5_s24.prim.00004.athdf,False
HGBS_f1.2_b2.0_M3.5_s30,P1,1.2,2.0,3.5,0,30,FULL,True,0.1302,573.45,1.7188,False,3.4451,ok_irregular,4,0.9688,0.7743,0.2812,4.133,HGBS_f1.2_b2.0_M3.5_s30.prim.00005.athdf,False
HGBS_f1.2_b2.0_M3.5_s6,P1,1.2,2.0,3.5,0,6,FULL,True,0.13,592.53,2.3438,False,6.3345,ok,3,1.7812,0.0625,0.2812,7.588,HGBS_f1.2_b2.0_M3.5_s6.prim.00005.athdf,False
