sim_id,campaign,f,beta,mach,gamma,theta,seed,approach,morphology_ref,runtime_s,returncode,term_reason,morphology,fragmented,lW,lW_method,hgbs_match,t_frag,grav_ratio,n_snaps,n_athdf_kept,n_athdf_purged,error
HGBS_REVERIFY_f1.1_b2.0_M3.0_s6,P1,1.1,2.0,3.0,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.285,FULL,True,2.4479,hdf5,False,0.1406,667.99,59,6,0,
HGBS_REVERIFY_f1.2_b2.0_M3.0_s6,P1,1.2,2.0,3.0,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.285,FULL,True,2.4479,hdf5,False,0.1458,562.93,58,6,0,
HGBS_f1.2_b2.0_M3.5_s6,P1,1.2,2.0,3.5,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.270,FULL,True,2.3438,hdf5,False,0.13,592.53,55,6,0,
HGBS_REVERIFY_f1.2_b2.0_M2.5_s6,P1,1.2,2.0,2.5,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.300,FULL,True,2.3958,hdf5,False,0.1653,505.69,61,7,0,
HGBS_REVERIFY_f1.0_b2.0_M3.0_s6,P1,1.0,2.0,3.0,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.295,FULL,True,2.4479,hdf5,False,0.1308,814.05,60,6,0,
HGBS_REVERIFY_f1.1_b2.0_M3.5_s6,P1,1.1,2.0,3.5,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.270,FULL,True,2.3438,hdf5,False,0.1252,642.57,55,6,0,
HGBS_REVERIFY_f1.1_b2.0_M2.5_s6,P1,1.1,2.0,2.5,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.305,FULL,True,2.3958,hdf5,False,0.161,622.07,62,7,0,
HGBS_f1.2_b2.0_M3.5_s12,P1,1.2,2.0,3.5,1.0,0,12,,,123.1,1,EARLY_FRAG@t=0.250,FULL,True,9.6615,hdf5,False,0.1308,470.41,51,6,0,
HGBS_f1.2_b2.0_M3.5_s18,P1,1.2,2.0,3.5,1.0,0,18,,,123.1,1,EARLY_FRAG@t=0.265,FULL,True,2.4219,hdf5,False,0.1303,544.06,54,6,0,
HGBS_f1.2_b2.0_M3.5_s24,P1,1.2,2.0,3.5,1.0,0,24,,,123.1,1,EARLY_FRAG@t=0.260,FULL,True,8.8542,hdf5,False,0.1301,603.7,53,6,0,
HGBS_f1.2_b2.0_M3.5_s30,P1,1.2,2.0,3.5,1.0,0,30,,,123.1,1,EARLY_FRAG@t=0.275,FULL,True,1.7188,hdf5,False,0.1302,573.45,56,6,0,
HGBS_f1.2_b2.0_M3.0_s6,P1,1.2,2.0,3.0,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.280,FULL,True,2.4479,hdf5,False,0.1458,562.93,58,6,0,
HGBS_f1.2_b2.0_M3.5_s0,P1,1.2,2.0,3.5,1.0,0,0,,,123.1,1,EARLY_FRAG@t=0.260,FULL,True,7.2917,hdf5,False,0.1302,575.89,53,6,0,
HGBS_f1.2_b2.0_M3.0_s12,P1,1.2,2.0,3.0,1.0,0,12,,,123.1,1,EARLY_FRAG@t=0.265,FULL,True,0.8594,hdf5,False,0.1457,504.49,55,6,0,
HGBS_f1.2_b2.0_M3.0_s18,P1,1.2,2.0,3.0,1.0,0,18,,,123.1,1,EARLY_FRAG@t=0.275,FULL,True,2.6823,hdf5,True,0.1451,469.92,56,6,0,
HGBS_f1.2_b2.0_M3.0_s24,P1,1.2,2.0,3.0,1.0,0,24,,,123.1,1,EARLY_FRAG@t=0.270,FULL,True,13.0729,hdf5,False,0.1458,454.94,55,6,0,
HGBS_f1.2_b2.0_M3.0_s30,P1,1.2,2.0,3.0,1.0,0,30,,,123.1,1,EARLY_FRAG@t=0.295,FULL,True,1.8229,hdf5,False,0.1459,595.54,60,6,0,
HGBS_f1.2_b2.0_M3.0_s0,P1,1.2,2.0,3.0,1.0,0,0,,,123.1,1,EARLY_FRAG@t=0.275,FULL,True,1.0938,hdf5,False,0.1451,504.21,56,6,0,
HGBS_f1.2_b2.0_M2.5_s6,P1,1.2,2.0,2.5,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.300,FULL,True,2.3958,hdf5,False,0.1653,505.69,61,7,0,
HGBS_f1.2_b2.0_M2.5_s12,P1,1.2,2.0,2.5,1.0,0,12,,,123.1,1,EARLY_FRAG@t=0.285,FULL,True,1.276,hdf5,False,0.1653,450.63,58,6,0,
HGBS_f1.2_b2.0_M2.5_s18,P1,1.2,2.0,2.5,1.0,0,18,,,123.1,1,EARLY_FRAG@t=0.295,FULL,True,2.9427,hdf5,True,0.1657,469.72,60,6,0,
HGBS_f1.2_b2.0_M2.5_s24,P1,1.2,2.0,2.5,1.0,0,24,,,123.1,1,EARLY_FRAG@t=0.300,FULL,True,8.8021,hdf5,False,0.1652,697.5,61,7,0,
HGBS_f1.2_b2.0_M2.5_s0,P1,1.2,2.0,2.5,1.0,0,0,,,123.1,1,EARLY_FRAG@t=0.295,FULL,True,1.4062,hdf5,False,0.1657,482.07,60,6,0,
HGBS_f1.2_b2.0_M2.5_s30,P1,1.2,2.0,2.5,1.0,0,30,,,123.1,1,EARLY_FRAG@t=0.305,FULL,True,1.6667,hdf5,False,0.1655,479.76,62,7,0,
HGBS_f1.1_b2.0_M3.5_s6,P1,1.1,2.0,3.5,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.270,FULL,True,2.3438,hdf5,False,0.1252,705.47,56,6,0,
HGBS_f1.1_b2.0_M3.5_s18,P1,1.1,2.0,3.5,1.0,0,18,,,123.1,1,EARLY_FRAG@t=0.265,FULL,True,2.4219,hdf5,False,0.1209,589.48,54,6,0,
HGBS_f1.1_b2.0_M3.5_s12,P1,1.1,2.0,3.5,1.0,0,12,,,123.1,1,EARLY_FRAG@t=0.255,FULL,True,9.6354,hdf5,False,0.1208,558.22,52,6,0,
HGBS_f1.1_b2.0_M3.5_s24,P1,1.1,2.0,3.5,1.0,0,24,,,123.1,1,EARLY_FRAG@t=0.265,FULL,True,12.8125,hdf5,False,0.1208,712.33,54,6,0,
HGBS_f1.1_b2.0_M3.5_s30,P1,1.1,2.0,3.5,1.0,0,30,,,123.1,1,EARLY_FRAG@t=0.280,FULL,True,1.6667,hdf5,False,0.1252,690.84,57,6,0,
HGBS_f1.1_b2.0_M3.5_s0,P1,1.1,2.0,3.5,1.0,0,0,,,123.1,1,EARLY_FRAG@t=0.260,FULL,True,7.2917,hdf5,False,0.1258,611.04,53,6,0,
HGBS_f1.1_b2.0_M3.0_s6,P1,1.1,2.0,3.0,1.0,0,6,,,123.1,1,EARLY_FRAG@t=0.290,FULL,True,2.4479,hdf5,False,0.1406,667.99,59,6,0,
HGBS_f1.1_b2.0_M3.0_s12,P1,1.1,2.0,3.0,1.0,0,12,,,123.1,1,EARLY_FRAG@t=0.270,FULL,True,0.8594,hdf5,False,0.14,579.57,56,6,0,
HGBS_f1.1_b2.0_M3.0_s18,P1,1.1,2.0,3.0,1.0,0,18,,,123.1,1,EARLY_FRAG@t=0.280,FULL,True,2.6823,hdf5,True,0.1403,551.92,57,6,0,
HGBS_f1.1_b2.0_M3.0_s24,P1,1.1,2.0,3.0,1.0,0,24,,,123.1,1,EARLY_FRAG@t=0.275,FULL,True,13.0729,hdf5,False,0.1405,621.6,56,6,0,
