sim_id,campaign,f,beta,mach,theta,seed,gamma,morphology,fragmented,t_frag,grav_ratio,lW,lW_v2,lW_refined,lW_flag,n_peaks,lambda_phys,lambda_std,W_fwhm,contrast,snap_used,hgbs_match,hgbs_match_v2,hgbs_match_refined,frag_flag,wall_s
HGBS_REVERIFY_f1.1_b2.0_M3.0_s6,P1,1.1,2.0,3.0,0,6,1.0,FULL,True,0.1406,667.99,2.4479,,,,,,,,,,False,,,,
HGBS_REVERIFY_f1.2_b2.0_M3.0_s6,P1,1.2,2.0,3.0,0,6,1.0,FULL,True,0.1458,562.93,2.4479,,,,,,,,,,False,,,,
HGBS_f1.2_b2.0_M3.5_s6,P1,1.2,2.0,3.5,0,6,1.0,FULL,True,0.13,592.53,2.3438,,,,,,,,,,False,,,,
HGBS_REVERIFY_f1.2_b2.0_M2.5_s6,P1,1.2,2.0,2.5,0,6,1.0,FULL,True,0.1653,505.69,2.3958,,,,,,,,,,False,,,,
HGBS_REVERIFY_f1.0_b2.0_M3.0_s6,P1,1.0,2.0,3.0,0,6,1.0,FULL,True,0.1308,814.05,2.4479,,,,,,,,,,False,,,,
HGBS_REVERIFY_f1.1_b2.0_M3.5_s6,P1,1.1,2.0,3.5,0,6,1.0,FULL,True,0.1252,642.57,2.3438,,,,,,,,,,False,,,,
HGBS_REVERIFY_f1.1_b2.0_M2.5_s6,P1,1.1,2.0,2.5,0,6,1.0,FULL,True,0.161,622.07,2.3958,,,,,,,,,,False,,,,
HGBS_f1.2_b2.0_M3.5_s12,P1,1.2,2.0,3.5,0,12,1.0,FULL,True,0.1308,470.41,9.6615,,,,,,,,,,False,,,,
HGBS_f1.2_b2.0_M3.5_s18,P1,1.2,2.0,3.5,0,18,1.0,FULL,True,0.1303,544.06,2.4219,,,,,,,,,,False,,,,
HGBS_f1.2_b2.0_M3.5_s24,P1,1.2,2.0,3.5,0,24,1.0,FULL,True,0.1301,603.7,8.8542,,,,,,,,,,False,,,,
HGBS_f1.2_b2.0_M3.5_s30,P1,1.2,2.0,3.5,0,30,1.0,FULL,True,0.1302,573.45,1.7188,,,,,,,,,,False,,,,
HGBS_f1.2_b2.0_M3.0_s6,P1,1.2,2.0,3.0,0,6,1.0,FULL,True,0.1458,562.93,2.4479,,,,,,,,,,False,,,,
HGBS_f1.2_b2.0_M3.5_s0,P1,1.2,2.0,3.5,0,0,1.0,FULL,True,0.1302,575.89,7.2917,,,,,,,,,,False,,,,
HGBS_f1.2_b2.0_M3.0_s12,P1,1.2,2.0,3.0,0,12,1.0,FULL,True,0.1457,504.49,0.8594,,,,,,,,,,False,,,,
HGBS_f1.2_b2.0_M3.0_s18,P1,1.2,2.0,3.0,0,18,1.0,FULL,True,0.1451,469.92,2.6823,,,,,,,,,,True,,,,
