sim_id,f,beta,M,seed,classification,t_frag,contrast,lambda_W
CT_0001,1.200000,0.300000,1.000000,0,LONGITUDINAL,43.515213,102.829785,2.616750
CT_0002,1.200000,0.300000,1.000000,1,LONGITUDINAL,41.975173,107.801205,2.866231
CT_0003,1.200000,0.300000,1.000000,2,LONGITUDINAL,40.507391,109.201096,2.573379
CT_0004,1.200000,0.300000,2.000000,0,LONGITUDINAL,30.769902,102.829785,2.485912
CT_0005,1.200000,0.300000,2.000000,1,LONGITUDINAL,29.680930,107.801205,2.722920
CT_0006,1.200000,0.300000,2.000000,2,LONGITUDINAL,28.643051,109.201096,2.444710
CT_0007,1.200000,0.500000,1.000000,0,LONGITUDINAL,42.264511,90.532136,3.045848
CT_0008,1.200000,0.500000,1.000000,1,LONGITUDINAL,41.456137,101.090993,3.052519
CT_0009,1.200000,0.500000,1.000000,2,LONGITUDINAL,42.548953,105.656125,3.178431
CT_0010,1.200000,0.500000,2.000000,0,LONGITUDINAL,29.885522,90.532136,2.893555
CT_0011,1.200000,0.500000,2.000000,1,LONGITUDINAL,29.313915,101.090993,2.899893
CT_0012,1.200000,0.500000,2.000000,2,LONGITUDINAL,30.086653,105.656125,3.019510
CT_0013,1.200000,1.000000,1.000000,0,LONGITUDINAL,41.220473,89.542868,3.373168
CT_0014,1.200000,1.000000,1.000000,1,LONGITUDINAL,41.841733,103.518096,3.213665
CT_0015,1.200000,1.000000,1.000000,2,LONGITUDINAL,43.210852,91.240829,3.536280
CT_0016,1.200000,1.000000,2.000000,0,LONGITUDINAL,29.147276,89.542868,3.204509
CT_0017,1.200000,1.000000,2.000000,1,LONGITUDINAL,29.586573,103.518096,3.052982
CT_0018,1.200000,1.000000,2.000000,2,LONGITUDINAL,30.554687,91.240829,3.359466
CT_0019,1.200000,1.500000,1.000000,0,LONGITUDINAL,43.752159,103.550468,3.352670
CT_0020,1.200000,1.500000,1.000000,1,LONGITUDINAL,43.105798,96.568346,3.703208
CT_0021,1.200000,1.500000,1.000000,2,LONGITUDINAL,43.090775,86.103996,3.606231
CT_0022,1.200000,1.500000,2.000000,0,LONGITUDINAL,29.348817,103.556449,3.215236
CT_0023,1.200000,1.500000,2.000000,1,LONGITUDINAL,30.486438,112.770243,3.258515
CT_0024,1.200000,1.500000,2.000000,2,RADIAL,30.062435,74.297441,
CT_0025,1.200000,2.000000,1.000000,0,LONGITUDINAL,42.626229,101.854801,3.514154
CT_0026,1.200000,2.000000,1.000000,1,LONGITUDINAL,40.124937,93.236329,3.344332
CT_0027,1.200000,2.000000,1.000000,2,LONGITUDINAL,41.041186,110.989738,3.599619
CT_0028,1.200000,2.000000,2.000000,0,LONGITUDINAL,29.630082,87.247549,3.317186
CT_0029,1.200000,2.000000,2.000000,1,LONGITUDINAL,29.784709,92.921436,3.329894
CT_0030,1.200000,2.000000,2.000000,2,LONGITUDINAL,31.729576,96.144188,3.147951
CT_0031,1.300000,0.300000,1.000000,0,LONGITUDINAL,32.198457,116.342202,2.560733
CT_0032,1.300000,0.300000,1.000000,1,LONGITUDINAL,32.411219,106.783022,2.733250
CT_0033,1.300000,0.300000,1.000000,2,LONGITUDINAL,32.987803,112.211225,2.821785
CT_0034,1.300000,0.300000,2.000000,0,LONGITUDINAL,22.767747,116.342202,2.432696
CT_0035,1.300000,0.300000,2.000000,1,LONGITUDINAL,22.918192,106.783022,2.596588
CT_0036,1.300000,0.300000,2.000000,2,LONGITUDINAL,23.325899,112.211225,2.680696
CT_0037,1.300000,0.500000,1.000000,0,LONGITUDINAL,33.567595,103.550468,2.904319
CT_0038,1.300000,0.500000,1.000000,1,LONGITUDINAL,33.071693,96.568346,3.207980
CT_0039,1.300000,0.500000,1.000000,2,LONGITUDINAL,33.060167,86.103996,3.123972
CT_0040,1.300000,0.500000,2.000000,0,LONGITUDINAL,23.735874,103.550468,2.759103
CT_0041,1.300000,0.500000,2.000000,1,LONGITUDINAL,23.385219,96.568346,3.047581
CT_0042,1.300000,0.500000,2.000000,2,LONGITUDINAL,23.377069,86.103996,2.967774
CT_0043,1.300000,1.000000,1.000000,0,LONGITUDINAL,32.149083,87.247549,3.266887
CT_0044,1.300000,1.000000,1.000000,1,LONGITUDINAL,32.316855,92.921436,3.279403
CT_0045,1.300000,1.000000,1.000000,2,LONGITUDINAL,34.427065,96.144188,3.100218
CT_0046,1.300000,1.000000,2.000000,0,LONGITUDINAL,22.732835,87.247549,3.103543
CT_0047,1.300000,1.000000,2.000000,1,LONGITUDINAL,22.851467,92.921436,3.115433
CT_0048,1.300000,1.000000,2.000000,2,LONGITUDINAL,24.343611,96.144188,2.945207
CT_0049,1.300000,1.500000,1.000000,0,LONGITUDINAL,32.325145,102.296890,3.448338
