beta,M,f,seed,lambda_W,t_frag
0.3000,1.0000,1.2000,0,2.6167,43.5152
0.3000,1.0000,1.2000,1,2.8662,41.9752
0.3000,1.0000,1.2000,2,2.5734,40.5074
0.3000,1.0000,1.3000,0,2.5607,32.1985
0.3000,1.0000,1.3000,1,2.7333,32.4112
0.3000,1.0000,1.3000,2,2.8218,32.9878
0.3000,1.0000,1.4000,0,2.5249,27.4655
0.3000,1.0000,1.4000,1,2.7488,26.6020
0.3000,1.0000,1.4000,2,2.6708,26.8277
0.3000,1.0000,1.5000,0,2.5684,21.6315
0.3000,1.0000,1.5000,1,2.5305,22.9460
0.3000,1.0000,1.5000,2,2.6387,23.3080
0.3000,1.0000,1.6000,0,2.4826,20.5667
0.3000,1.0000,1.6000,1,2.5787,19.5580
0.3000,1.0000,1.6000,2,2.3090,19.7278
0.3000,1.0000,1.7000,0,2.4910,16.8550
0.3000,1.0000,1.7000,1,2.4421,17.0560
0.3000,1.0000,1.7000,2,2.3678,17.1530
0.3000,2.0000,1.2000,0,2.4859,30.7699
0.3000,2.0000,1.2000,1,2.7229,29.6809
0.3000,2.0000,1.2000,2,2.4447,28.6431
0.3000,2.0000,1.3000,0,2.4327,22.7677
0.3000,2.0000,1.3000,1,2.5966,22.9182
0.3000,2.0000,1.3000,2,2.6807,23.3259
0.3000,2.0000,1.4000,0,2.3986,19.4211
0.3000,2.0000,1.4000,1,2.6114,18.8104
0.3000,2.0000,1.4000,2,2.5372,18.9700
0.3000,2.0000,1.5000,0,2.4399,15.2958
0.3000,2.0000,1.5000,1,2.4040,16.2253
0.3000,2.0000,1.5000,2,2.5068,16.4812
0.3000,2.0000,1.6000,0,2.3585,14.5428
0.3000,2.0000,1.6000,1,2.4498,13.8296
0.3000,2.0000,1.6000,2,2.1935,13.9497
0.3000,2.0000,1.7000,0,2.3593,12.7834
0.3000,2.0000,1.7000,1,2.3561,12.0146
0.5000,1.0000,1.2000,0,3.0458,42.2645
0.5000,1.0000,1.2000,1,3.0525,41.4561
0.5000,1.0000,1.2000,2,3.1784,42.5490
0.5000,1.0000,1.3000,0,2.9043,33.5676
0.5000,1.0000,1.3000,1,3.2080,33.0717
0.5000,1.0000,1.3000,2,3.1240,33.0602
0.5000,1.0000,1.4000,0,2.8927,26.5302
0.5000,1.0000,1.4000,1,3.1026,26.9578
0.5000,1.0000,1.4000,2,2.8508,26.0851
0.5000,1.0000,1.5000,0,3.0037,22.5728
0.5000,1.0000,1.5000,1,2.9211,22.6930
0.5000,1.0000,1.5000,2,2.9103,21.5500
0.5000,1.0000,1.6000,1,2.7983,18.7093
0.5000,1.0000,1.6000,2,2.8110,18.5242
0.5000,1.0000,1.7000,1,2.8382,16.9196
0.5000,2.0000,1.2000,0,2.8936,29.8855
0.5000,2.0000,1.2000,1,2.8999,29.3139
0.5000,2.0000,1.2000,2,3.0195,30.0867
0.5000,2.0000,1.3000,0,2.7591,23.7359
0.5000,2.0000,1.3000,1,3.0476,23.3852
0.5000,2.0000,1.3000,2,2.9678,23.3771
0.5000,2.0000,1.4000,0,2.7480,18.7597
0.5000,2.0000,1.4000,1,2.9475,19.0621
0.5000,2.0000,1.4000,2,2.7083,18.4450
0.5000,2.0000,1.5000,0,2.6900,15.9771
0.5000,2.0000,1.5000,2,3.0395,15.2093
0.5000,2.0000,1.6000,2,2.6704,13.0986
1.0000,1.0000,1.2000,0,3.3732,41.2205
1.0000,1.0000,1.2000,1,3.2137,41.8417
1.0000,1.0000,1.2000,2,3.5363,43.2109
1.0000,1.0000,1.3000,0,3.2669,32.1491
1.0000,1.0000,1.3000,1,3.2794,32.3169
1.0000,1.0000,1.3000,2,3.1002,34.4271
1.0000,1.0000,1.4000,1,3.2222,26.1496
1.0000,1.0000,1.4000,2,3.1330,26.8744
1.0000,1.0000,1.6000,0,3.0540,18.9139
1.0000,1.0000,1.7000,1,3.1031,17.2590
1.0000,2.0000,1.2000,0,3.2045,29.1473
1.0000,2.0000,1.2000,1,3.0530,29.5866
1.0000,2.0000,1.2000,2,3.3595,30.5547
1.0000,2.0000,1.3000,0,3.1035,22.7328
