beta,M,f_transition,f_transition_err,delta_f,delta_f_err,abruptness
0.3000,1.0000,2.3582,0.3000,0.0592,0.0917,abrupt
0.3000,2.0000,1.7038,0.0001,0.0055,0.0002,abrupt
0.5000,1.0000,1.6533,0.0084,0.0588,0.0083,abrupt
0.5000,2.0000,1.5501,0.0099,0.0541,0.0085,abrupt
1.0000,1.0000,1.4062,0.3000,0.0089,0.3000,abrupt
1.0000,2.0000,1.4059,0.3000,0.0085,0.3000,abrupt
1.5000,1.0000,1.3499,0.0099,0.0541,0.0085,abrupt
1.5000,2.0000,1.2616,0.0250,0.1004,0.0266,abrupt
2.0000,1.0000,1.3061,0.3000,0.0087,0.3000,abrupt
2.0000,2.0000,1.3060,0.3000,0.0086,0.3000,abrupt
