sim_id,f,beta,theta,classification,t_frag,lambda_W,verification
PFE_0001,1.500000,0.300000,60.000000,LONGITUDINAL,91.281321,0.715978,False
PFE_0002,1.500000,0.300000,75.000000,LONGITUDINAL,208.601638,0.673711,False
PFE_0003,1.500000,0.300000,90.000000,LONGITUDINAL,219.795898,0.635660,False
PFE_0004,1.500000,0.500000,60.000000,LONGITUDINAL,39.283279,0.905530,False
PFE_0005,1.500000,0.500000,75.000000,LONGITUDINAL,51.391483,0.847087,False
PFE_0006,1.500000,0.500000,90.000000,LONGITUDINAL,57.428763,0.784703,False
PFE_0007,1.500000,1.000000,60.000000,LONGITUDINAL,27.788761,1.314117,False
PFE_0008,1.500000,1.000000,75.000000,RADIAL,30.372748,,False
PFE_0009,1.500000,1.000000,90.000000,LONGITUDINAL,30.745928,1.055728,False
PFE_0010,1.500000,1.500000,60.000000,LONGITUDINAL,26.536744,1.383120,False
PFE_0011,1.500000,1.500000,75.000000,LONGITUDINAL,27.275637,1.422198,False
PFE_0012,1.500000,1.500000,90.000000,LONGITUDINAL,27.111013,1.269735,False
PFE_0013,1.500000,2.000000,60.000000,RADIAL,25.006360,,False
PFE_0014,1.500000,2.000000,75.000000,RADIAL,25.483663,,False
PFE_0015,1.500000,2.000000,90.000000,LONGITUDINAL,25.719702,1.432485,False
PFE_0016,1.500000,3.000000,60.000000,RADIAL,25.274213,,False
PFE_0017,1.500000,3.000000,75.000000,RADIAL,24.209812,,False
PFE_0018,1.500000,3.000000,90.000000,RADIAL,24.576007,,False
PFE_0019,1.500000,5.000000,60.000000,LONGITUDINAL,22.891881,2.197332,False
PFE_0020,1.500000,5.000000,75.000000,RADIAL,23.446695,,False
PFE_0021,1.500000,5.000000,90.000000,RADIAL,24.488003,,False
PFE_0022,2.000000,0.300000,60.000000,LONGITUDINAL,50.783974,0.692942,False
PFE_0023,2.000000,0.300000,75.000000,LONGITUDINAL,125.858442,0.628397,False
PFE_0024,2.000000,0.300000,90.000000,LONGITUDINAL,128.900574,0.581656,False
PFE_0025,2.000000,0.500000,60.000000,RADIAL,22.298232,,False
PFE_0026,2.000000,0.500000,75.000000,LONGITUDINAL,27.074983,0.749668,False
PFE_0027,2.000000,0.500000,90.000000,RADIAL,32.469736,,False
PFE_0028,2.000000,1.000000,60.000000,RADIAL,16.634330,,False
PFE_0029,2.000000,1.000000,75.000000,RADIAL,18.013954,,False
PFE_0030,2.000000,1.000000,90.000000,RADIAL,17.107494,,False
PFE_0031,2.000000,1.500000,60.000000,RADIAL,15.433213,,False
PFE_0032,2.000000,1.500000,75.000000,RADIAL,14.975114,,False
PFE_0033,2.000000,1.500000,90.000000,RADIAL,15.758098,,False
PFE_0034,2.000000,2.000000,60.000000,RADIAL,13.960390,,False
PFE_0035,2.000000,2.000000,75.000000,RADIAL,13.910450,,False
PFE_0036,2.000000,2.000000,90.000000,RADIAL,14.982331,,False
PFE_0037,2.000000,3.000000,60.000000,RADIAL,13.168345,,False
PFE_0038,2.000000,3.000000,75.000000,RADIAL,13.903712,,False
PFE_0039,2.000000,3.000000,90.000000,RADIAL,13.513994,,False
PFE_0040,2.000000,5.000000,60.000000,RADIAL,13.335059,,False
PFE_0041,2.000000,5.000000,75.000000,RADIAL,14.006135,,False
PFE_0042,2.000000,5.000000,90.000000,RADIAL,12.516714,,False
PFE_0043,2.500000,0.300000,60.000000,LONGITUDINAL,34.054637,0.638192,False
PFE_0044,2.500000,0.300000,75.000000,LONGITUDINAL,84.216548,0.542326,False
PFE_0045,2.500000,0.300000,90.000000,LONGITUDINAL,87.941683,0.560531,False
PFE_0046,2.500000,0.500000,60.000000,RADIAL,14.726863,,False
PFE_0047,2.500000,0.500000,75.000000,RADIAL,18.469663,,False
PFE_0048,2.500000,0.500000,90.000000,RADIAL,22.119611,,False
PFE_0049,2.500000,1.000000,60.000000,RADIAL,10.610858,,False
PFE_0050,2.500000,1.000000,75.000000,RADIAL,11.932851,,False
PFE_0051,2.500000,1.000000,90.000000,RADIAL,12.722626,,False
PFE_0052,2.500000,1.500000,60.000000,RADIAL,10.517347,,False
PFE_0053,2.500000,1.500000,75.000000,RADIAL,9.780056,,False
PFE_0054,2.500000,1.500000,90.000000,RADIAL,10.506128,,False
PFE_0055,2.500000,2.000000,60.000000,RADIAL,9.160794,,False
PFE_0056,2.500000,2.000000,75.000000,RADIAL,10.287616,,False
PFE_0057,2.500000,2.000000,90.000000,RADIAL,10.180732,,False
PFE_0058,2.500000,3.000000,60.000000,RADIAL,8.600079,,False
PFE_0059,2.500000,3.000000,75.000000,RADIAL,9.269785,,False
PFE_0060,2.500000,3.000000,90.000000,RADIAL,9.014634,,False
PFE_0061,2.500000,5.000000,60.000000,RADIAL,9.061385,,False
PFE_0062,2.500000,5.000000,75.000000,RADIAL,8.963100,,False
PFE_0063,2.500000,5.000000,90.000000,RADIAL,9.055035,,False
PFE_0064,3.000000,0.300000,60.000000,RADIAL,25.303889,,False
PFE_0065,3.000000,0.300000,75.000000,RADIAL,61.588594,,False
PFE_0066,3.000000,0.300000,90.000000,RADIAL,61.977762,,False
PFE_0067,3.000000,0.500000,60.000000,RADIAL,11.451660,,False
PFE_0068,3.000000,0.500000,75.000000,RADIAL,14.493648,,False
PFE_0069,3.000000,0.500000,90.000000,RADIAL,15.025715,,False
PFE_0070,3.000000,1.000000,60.000000,RADIAL,7.741639,,False
PFE_0071,3.000000,1.000000,75.000000,RADIAL,8.648307,,False
PFE_0072,3.000000,1.000000,90.000000,RADIAL,8.648985,,False
PFE_0073,3.000000,1.500000,60.000000,RADIAL,7.361464,,False
PFE_0074,3.000000,1.500000,75.000000,RADIAL,7.738543,,False
PFE_0075,3.000000,1.500000,90.000000,RADIAL,7.584722,,False
PFE_0076,3.000000,2.000000,60.000000,RADIAL,7.188725,,False
PFE_0077,3.000000,2.000000,75.000000,RADIAL,6.988314,,False
PFE_0078,3.000000,2.000000,90.000000,RADIAL,7.439971,,False
PFE_0079,3.000000,3.000000,60.000000,RADIAL,6.804877,,False
PFE_0080,3.000000,3.000000,75.000000,RADIAL,6.692165,,False
PFE_0081,3.000000,3.000000,90.000000,RADIAL,6.861763,,False
PFE_0082,3.000000,5.000000,60.000000,RADIAL,6.621964,,False
PFE_0083,3.000000,5.000000,75.000000,RADIAL,6.477479,,False
PFE_0084,3.000000,5.000000,90.000000,RADIAL,6.602801,,False
PFE_V0085,2.000000,1.000000,60.000000,RADIAL,16.007759,,True
PFE_V0086,2.000000,1.000000,90.000000,RADIAL,18.931282,,True
PFE_V0087,2.500000,0.500000,75.000000,RADIAL,19.136803,,True
PFE_V0088,1.500000,2.000000,60.000000,RADIAL,24.140228,,True
PFE_V0089,3.000000,1.000000,75.000000,RADIAL,8.724925,,True
PFE_V0090,2.000000,3.000000,90.000000,RADIAL,13.642704,,True
