f,beta,effect_size,lambda_W_60,lambda_W_75,lambda_W_90
1.5000,0.3000,0.1264,0.7160,0.6737,0.6357
1.5000,0.5000,0.1540,0.9055,0.8471,0.7847
1.5000,1.0000,0.2447,1.3141,,1.0557
1.5000,1.5000,0.0893,1.3831,1.4222,1.2697
1.5000,2.0000,,,,1.4325
1.5000,3.0000,,,,
1.5000,5.0000,,2.1973,,
2.0000,0.3000,0.1913,0.6929,0.6284,0.5817
2.0000,0.5000,,,0.7497,
2.0000,1.0000,,,,
2.0000,1.5000,,,,
2.0000,2.0000,,,,
2.0000,3.0000,,,,
2.0000,5.0000,,,,
2.5000,0.3000,0.1385,0.6382,0.5423,0.5605
2.5000,0.5000,,,,
2.5000,1.0000,,,,
2.5000,1.5000,,,,
2.5000,2.0000,,,,
2.5000,3.0000,,,,
2.5000,5.0000,,,,
3.0000,0.3000,,,,
3.0000,0.5000,,,,
3.0000,1.0000,,,,
3.0000,1.5000,,,,
3.0000,2.0000,,,,
3.0000,3.0000,,,,
3.0000,5.0000,,,,
