M_turb,beta,f_crit,f_crit_err,f_crit_eff
0.5000,0.5000,0.7500,0.0500,0.6000
0.5000,1.0000,0.8500,0.0500,0.6800
0.5000,2.0000,0.8500,0.0500,0.6800
1.0000,0.5000,1.3000,0.0500,0.6500
1.0000,1.0000,1.3000,0.0500,0.6500
1.0000,2.0000,1.3000,0.0500,0.6500
1.5000,0.5000,1.3000,0.0500,0.4000
1.5000,1.0000,1.3000,0.0500,0.4000
1.5000,2.0000,1.3000,0.0500,0.4000
2.0000,0.5000,1.3000,0.0500,0.2600
2.0000,1.0000,1.3000,0.0500,0.2600
2.0000,2.0000,1.3000,0.0500,0.2600
2.5000,0.5000,1.3000,0.0500,0.1793
2.5000,1.0000,1.3000,0.0500,0.1793
2.5000,2.0000,1.3000,0.0500,0.1793
