f_thermal,M_turb,beta,f_eff_model,f_eff_sim,fragmented,t_frag,lambda_W
0.700000,0.500000,0.500000,0.560000,0.560000,False,460.663782,
0.700000,0.500000,1.000000,0.560000,0.560000,False,449.284244,
0.700000,0.500000,2.000000,0.560000,0.560000,False,464.606348,
0.700000,1.000000,0.500000,0.350000,0.350000,False,inf,
0.700000,1.000000,1.000000,0.350000,0.350000,False,inf,
0.700000,1.000000,2.000000,0.350000,0.350000,False,inf,
0.700000,1.500000,0.500000,0.215385,0.215385,False,inf,
0.700000,1.500000,1.000000,0.215385,0.215385,False,inf,
0.700000,1.500000,2.000000,0.215385,0.215385,False,inf,
0.700000,2.000000,0.500000,0.140000,0.140000,False,inf,
0.700000,2.000000,1.000000,0.140000,0.140000,False,inf,
0.700000,2.000000,2.000000,0.140000,0.140000,False,inf,
0.700000,2.500000,0.500000,0.096552,0.096552,False,inf,
0.700000,2.500000,1.000000,0.096552,0.096552,False,inf,
0.700000,2.500000,2.000000,0.096552,0.096552,False,inf,
0.800000,0.500000,0.500000,0.640000,0.640000,True,277.880037,4.019359
0.800000,0.500000,1.000000,0.640000,0.640000,True,271.860926,4.088603
0.800000,0.500000,2.000000,0.640000,0.640000,False,277.329488,
0.800000,1.000000,0.500000,0.400000,0.400000,False,inf,
0.800000,1.000000,1.000000,0.400000,0.400000,False,inf,
0.800000,1.000000,2.000000,0.400000,0.400000,False,inf,
0.800000,1.500000,0.500000,0.246154,0.246154,False,inf,
0.800000,1.500000,1.000000,0.246154,0.246154,False,inf,
0.800000,1.500000,2.000000,0.246154,0.246154,False,inf,
0.800000,2.000000,0.500000,0.160000,0.160000,False,inf,
0.800000,2.000000,1.000000,0.160000,0.160000,False,inf,
0.800000,2.000000,2.000000,0.160000,0.160000,False,inf,
0.800000,2.500000,0.500000,0.110345,0.110345,False,inf,
0.800000,2.500000,1.000000,0.110345,0.110345,False,inf,
0.800000,2.500000,2.000000,0.110345,0.110345,False,inf,
0.900000,0.500000,0.500000,0.720000,0.720000,True,177.978043,3.837344
0.900000,0.500000,1.000000,0.720000,0.720000,False,176.482401,
0.900000,0.500000,2.000000,0.720000,0.720000,True,165.083277,4.437398
0.900000,1.000000,0.500000,0.450000,0.450000,False,inf,
0.900000,1.000000,1.000000,0.450000,0.450000,False,inf,
0.900000,1.000000,2.000000,0.450000,0.450000,False,inf,
0.900000,1.500000,0.500000,0.276923,0.276923,False,inf,
0.900000,1.500000,1.000000,0.276923,0.276923,False,inf,
0.900000,1.500000,2.000000,0.276923,0.276923,False,inf,
0.900000,2.000000,0.500000,0.180000,0.180000,False,inf,
0.900000,2.000000,1.000000,0.180000,0.180000,False,inf,
0.900000,2.000000,2.000000,0.180000,0.180000,False,inf,
0.900000,2.500000,0.500000,0.124138,0.124138,False,inf,
0.900000,2.500000,1.000000,0.124138,0.124138,False,inf,
0.900000,2.500000,2.000000,0.124138,0.124138,False,inf,
1.000000,0.500000,0.500000,0.800000,0.800000,True,123.593545,3.630150
1.000000,0.500000,1.000000,0.800000,0.800000,True,124.329538,3.778846
1.000000,0.500000,2.000000,0.800000,0.800000,True,137.338874,3.854961
1.000000,1.000000,0.500000,0.500000,0.500000,False,inf,
1.000000,1.000000,1.000000,0.500000,0.500000,False,inf,
1.000000,1.000000,2.000000,0.500000,0.500000,False,inf,
1.000000,1.500000,0.500000,0.307692,0.307692,False,inf,
1.000000,1.500000,1.000000,0.307692,0.307692,False,inf,
1.000000,1.500000,2.000000,0.307692,0.307692,False,inf,
1.000000,2.000000,0.500000,0.200000,0.200000,False,inf,
1.000000,2.000000,1.000000,0.200000,0.200000,False,inf,
1.000000,2.000000,2.000000,0.200000,0.200000,False,inf,
1.000000,2.500000,0.500000,0.137931,0.137931,False,inf,
1.000000,2.500000,1.000000,0.137931,0.137931,False,inf,
1.000000,2.500000,2.000000,0.137931,0.137931,False,inf,
1.100000,0.500000,0.500000,0.880000,0.880000,True,102.460804,3.557894
1.100000,0.500000,1.000000,0.880000,0.880000,True,108.425427,3.590201
1.100000,0.500000,2.000000,0.880000,0.880000,True,103.381790,3.784411
1.100000,1.000000,0.500000,0.550000,0.550000,False,443.774476,
1.100000,1.000000,1.000000,0.550000,0.550000,False,440.265279,
1.100000,1.000000,2.000000,0.550000,0.550000,False,464.649599,
1.100000,1.500000,0.500000,0.338462,0.338462,False,inf,
1.100000,1.500000,1.000000,0.338462,0.338462,False,inf,
1.100000,1.500000,2.000000,0.338462,0.338462,False,inf,
1.100000,2.000000,0.500000,0.220000,0.220000,False,inf,
1.100000,2.000000,1.000000,0.220000,0.220000,False,inf,
1.100000,2.000000,2.000000,0.220000,0.220000,False,inf,
1.100000,2.500000,0.500000,0.151724,0.151724,False,inf,
1.100000,2.500000,1.000000,0.151724,0.151724,False,inf,
1.100000,2.500000,2.000000,0.151724,0.151724,False,inf,
1.200000,0.500000,0.500000,0.960000,0.960000,True,85.617880,3.748991
1.200000,0.500000,1.000000,0.960000,0.960000,True,85.402348,3.533282
1.200000,0.500000,2.000000,0.960000,0.960000,True,85.825581,4.248290
1.200000,1.000000,0.500000,0.600000,0.600000,False,362.663969,
1.200000,1.000000,1.000000,0.600000,0.600000,False,387.207999,
1.200000,1.000000,2.000000,0.600000,0.600000,False,363.880098,
1.200000,1.500000,0.500000,0.369231,0.369231,False,inf,
1.200000,1.500000,1.000000,0.369231,0.369231,False,inf,
1.200000,1.500000,2.000000,0.369231,0.369231,False,inf,
1.200000,2.000000,0.500000,0.240000,0.240000,False,inf,
1.200000,2.000000,1.000000,0.240000,0.240000,False,inf,
1.200000,2.000000,2.000000,0.240000,0.240000,False,inf,
1.200000,2.500000,0.500000,0.165517,0.165517,False,inf,
1.200000,2.500000,1.000000,0.165517,0.165517,False,inf,
1.200000,2.500000,2.000000,0.165517,0.165517,False,inf,
