sim_id,f,beta,mach,theta,seed,morphology,fragmented,t_frag,grav_ratio,kill_reason,wall_s,lW,lW_flag,n_peaks,lambda_phys,hgbs_match
RC_f1.5_b2.0_s1,1.5,2.0,1.0,0.0,1,FULL,True,,,DT_COLLAPSE@t=0.410,1321,5.8333,ok_irregular,3,3.5,False
RC_f1.5_b0.5_s2,1.5,0.5,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.395,3183,8.3854,low_confidence,2,5.0312,False
RC_f1.5_b2.0_s2,1.5,2.0,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.390,2222,8.4375,low_confidence,2,5.0625,False
RC_f1.8_b0.5_s1,1.8,0.5,1.0,0.0,1,FULL,True,,,DT_COLLAPSE@t=0.395,2342,5.8333,ok_irregular,3,3.5,False
RC_f1.8_b0.5_s2,1.8,0.5,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.385,1141,4.1667,ok_irregular,3,2.5,False
RC_f1.5_b2.0_s3,1.5,2.0,1.0,0.0,3,FULL,True,0.425,2165.5,DT_COLLAPSE@t=0.450,6126,7.0312,ok_irregular,3,4.2188,False
RC_f1.5_b1.0_s2,1.5,1.0,1.0,0.0,2,TIMEOUT,False,,,TIMEOUT,10805,8.4375,low_confidence,2,5.0625,False
RC_f1.5_b0.5_s3,1.5,0.5,1.0,0.0,3,TIMEOUT,False,,,TIMEOUT,10805,6.875,ok_irregular,3,4.125,False
RC_f1.5_b0.5_s1,1.5,0.5,1.0,0.0,1,TIMEOUT,False,,,TIMEOUT,10805,1.9792,low_confidence,2,1.1875,False
RC_f1.5_b1.0_s1,1.5,1.0,1.0,0.0,1,TIMEOUT,False,,,TIMEOUT,10805,5.8333,ok_irregular,3,3.5,False
RC_f1.5_b1.0_s3,1.5,1.0,1.0,0.0,3,TIMEOUT,False,,,TIMEOUT,10805,6.875,ok_irregular,3,4.125,False
RC_f1.8_b2.0_s1,1.8,2.0,1.0,0.0,1,FULL,True,,,DT_COLLAPSE@t=0.400,2222,2.0312,ok_irregular,4,1.2188,False
RC_f1.8_b1.0_s2,1.8,1.0,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.395,3243,4.2188,ok_irregular,3,2.5312,False
RC_f1.8_b2.0_s2,1.8,2.0,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.405,4024,3.5156,ok_irregular,5,2.1094,False
RC_f2.2_b0.5_s2,2.2,0.5,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.365,901,4.1406,ok_irregular,3,2.4844,False
RC_f2.2_b0.5_s3,2.2,0.5,1.0,0.0,3,FULL,True,,,DT_COLLAPSE@t=0.345,360,7.526,ok_irregular,3,4.5156,False
RC_f2.2_b1.0_s2,2.2,1.0,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.390,2222,4.1927,ok_irregular,3,2.5156,False
RC_f1.8_b0.5_s3,1.8,0.5,1.0,0.0,3,TIMEOUT,False,,,TIMEOUT,10805,6.9271,ok_irregular,3,4.1562,False
RC_f2.2_b1.0_s3,2.2,1.0,1.0,0.0,3,FULL,True,,,DT_COLLAPSE@t=0.345,541,7.526,ok_irregular,3,4.5156,False
RC_f1.8_b1.0_s1,1.8,1.0,1.0,0.0,1,TIMEOUT,False,,,TIMEOUT,10805,5.8333,ok_irregular,3,3.5,False
RC_f2.2_b2.0_s2,2.2,2.0,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.365,2162,2.1094,ok_irregular,5,1.2656,False
RC_f2.2_b2.0_s1,2.2,2.0,1.0,0.0,1,FULL,True,,,DT_COLLAPSE@t=0.390,2643,4.9479,ok_irregular,5,2.9688,False
RC_f2.6_b0.5_s1,2.6,0.5,1.0,0.0,1,FULL,True,,,DT_COLLAPSE@t=0.345,360,2.1354,ok_irregular,6,1.2812,False
RC_f1.8_b1.0_s3,1.8,1.0,1.0,0.0,3,TIMEOUT,False,,,TIMEOUT,10805,2.5521,ok_irregular,4,1.5312,True
RC_f1.8_b2.0_s3,1.8,2.0,1.0,0.0,3,TIMEOUT,False,0.43,2183.7,TIMEOUT,10805,2.7604,ok_irregular,4,1.6562,True
RC_f2.2_b1.0_s1,2.2,1.0,1.0,0.0,1,FULL,True,,,DT_COLLAPSE@t=0.390,7027,2.0312,ok_irregular,4,1.2188,False
RC_f2.6_b0.5_s3,2.6,0.5,1.0,0.0,3,FULL,True,,,DT_COLLAPSE@t=0.360,1742,3.2292,ok_irregular,4,1.9375,False
RC_f2.6_b0.5_s2,2.6,0.5,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.380,2523,2.0833,ok_irregular,5,1.25,False
RC_f2.2_b2.0_s3,2.2,2.0,1.0,0.0,3,FULL,True,,,DT_COLLAPSE@t=0.415,2943,3.0208,ok_irregular,4,1.8125,True
RC_f2.6_b1.0_s1,2.6,1.0,1.0,0.0,1,FULL,True,,,DT_COLLAPSE@t=0.370,1502,2.1615,ok_irregular,7,1.2969,False
RC_f2.2_b0.5_s1,2.2,0.5,1.0,0.0,1,TIMEOUT,False,,,TIMEOUT,10805,4.7656,ok_irregular,5,2.8594,False
RC_f2.6_b2.0_s1,2.6,2.0,1.0,0.0,1,FULL,True,,,DT_COLLAPSE@t=0.385,2342,2.1354,ok_irregular,8,1.2812,False
RC_f2.6_b1.0_s2,2.6,1.0,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.375,3544,2.6042,ok_irregular,6,1.5625,True
RC_f2.6_b2.0_s2,2.6,2.0,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.360,2583,2.5521,ok_irregular,6,1.5312,True
RC_f2.6_b2.0_s3,2.6,2.0,1.0,0.0,3,FULL,True,,,DT_COLLAPSE@t=0.385,2643,3.6458,ok_irregular,4,2.1875,False
RC_f3.0_b0.5_s1,3.0,0.5,1.0,0.0,1,FULL,True,,,DT_COLLAPSE@t=0.385,2703,2.1615,ok_irregular,7,1.2969,False
RC_f3.0_b0.5_s2,3.0,0.5,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.370,2403,2.5521,ok_irregular,6,1.5312,True
RC_f3.0_b1.0_s3,3.0,1.0,1.0,0.0,3,FULL,True,,,DT_COLLAPSE@t=0.360,2102,3.1771,ok_irregular,6,1.9062,False
RC_f3.0_b1.0_s1,3.0,1.0,1.0,0.0,1,FULL,True,,,DT_COLLAPSE@t=0.370,3183,2.2396,ok_irregular,8,1.3438,False
RC_f3.0_b2.0_s2,3.0,2.0,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.355,3003,2.6302,ok_irregular,7,1.5781,True
RC_f3.0_b2.0_s1,3.0,2.0,1.0,0.0,1,FULL,True,,,DT_COLLAPSE@t=0.380,3424,2.1094,ok_irregular,9,1.2656,False
RC_f3.0_b0.5_s3,3.0,0.5,1.0,0.0,3,FULL,True,,,DT_COLLAPSE@t=0.385,5045,3.2292,ok_irregular,4,1.9375,False
RC_f2.6_b1.0_s3,2.6,1.0,1.0,0.0,3,FULL,True,,,DT_COLLAPSE@t=0.395,8708,3.3333,ok_irregular,4,2.0,False
RC_f3.0_b2.0_s3,3.0,2.0,1.0,0.0,3,FULL,True,,,DT_COLLAPSE@t=0.375,2883,3.0208,ok_irregular,6,1.8125,True
RC_f3.0_b1.0_s2,3.0,1.0,1.0,0.0,2,FULL,True,,,DT_COLLAPSE@t=0.365,5585,2.6302,ok_irregular,7,1.5781,True
