sim_id,sim_name,grid,f,beta,M,theta,seed,classification,lambda_W,lambda_W_err,t_frag,t_radial,N_peaks,peak_significance,sigma_lw,contrast,radial_collapsed,radial_width_frac,f_transition,phase,t_J,priority
SC_0001,supercritical_f1.5_beta0.3_M1.0_theta0_seed1,main,1.5,0.3,1.0,0.0,1,MEASURABLE,2.364381,0.236438,21.9278,5.034986,3,4.962,0.1,88.767215,False,0.9408,1.9667,1,,
SC_0002,supercritical_f1.5_beta0.3_M1.0_theta0_seed2,main,1.5,0.3,1.0,0.0,2,MEASURABLE,2.834485,0.231011,21.751615,5.034986,4,5.441,0.0815,102.003049,False,0.9408,1.9667,1,,
SC_0003,supercritical_f1.5_beta0.3_M1.0_theta45_seed1,main,1.5,0.3,1.0,45.0,1,MEASURABLE,0.814271,0.064572,46.38646,4.806123,8,5.308,0.0793,97.370473,False,0.9351,2.2167,1,,
SC_0004,supercritical_f1.5_beta0.3_M1.0_theta45_seed2,main,1.5,0.3,1.0,45.0,2,MEASURABLE,0.931581,0.071359,43.508899,4.806123,9,4.944,0.0766,93.781484,False,0.9351,2.2167,1,,
SC_0005,supercritical_f1.5_beta0.3_M1.0_theta90_seed1,main,1.5,0.3,1.0,90.0,1,MEASURABLE,0.647097,0.049826,230.891552,4.57726,14,5.414,0.077,81.114832,False,0.9284,2.4667,1,,
SC_0006,supercritical_f1.5_beta0.3_M1.0_theta90_seed2,main,1.5,0.3,1.0,90.0,2,MEASURABLE,0.639739,0.041775,226.067873,4.57726,13,5.574,0.0653,93.823696,False,0.9284,2.4667,1,,
SC_0007,supercritical_f1.5_beta0.3_M3.0_theta0_seed1,main,1.5,0.3,3.0,0.0,1,MEASURABLE,2.355607,0.343212,12.810011,5.034986,5,4.98,0.1457,105.61258,False,0.9408,1.8067,1,,
SC_0008,supercritical_f1.5_beta0.3_M3.0_theta0_seed2,main,1.5,0.3,3.0,0.0,2,PARTIAL,2.270021,0.681006,13.001946,5.034986,2,5.184,0.1296,36.313975,False,0.9408,1.8067,1,,
SC_0009,supercritical_f1.5_beta0.3_M3.0_theta45_seed1,main,1.5,0.3,3.0,45.0,1,MEASURABLE,0.778938,0.109519,26.454967,4.806123,9,4.755,0.1406,111.724122,False,0.9351,2.0567,1,,
SC_0010,supercritical_f1.5_beta0.3_M3.0_theta45_seed2,main,1.5,0.3,3.0,45.0,2,MEASURABLE,0.736723,0.103878,26.305842,4.806123,10,4.983,0.141,97.681317,False,0.9351,2.0567,1,,
SC_0011,supercritical_f1.5_beta0.3_M3.0_theta90_seed1,main,1.5,0.3,3.0,90.0,1,MEASURABLE,0.550107,0.07773,127.127005,4.57726,15,5.41,0.1413,92.410151,False,0.9284,2.3067,1,,
