sim_id,sim_name,grid,f,beta,M,theta,seed,classification,lambda_W,lambda_W_err,t_frag,t_radial,N_peaks,peak_significance,sigma_lw,contrast,radial_collapsed,radial_width_frac,f_transition
SC_0001,supercritical_f1.5_beta0.3_M1.0_theta0_seed1,main,1.500000,0.300000,1.000000,0.000000,1,MEASURABLE,2.364381,0.236438,21.927800,5.034986,3,4.962000,0.100000,88.767215,False,0.940800,1.966700
SC_0002,supercritical_f1.5_beta0.3_M1.0_theta0_seed2,main,1.500000,0.300000,1.000000,0.000000,2,MEASURABLE,2.834485,0.231011,21.751615,5.034986,4,5.441000,0.081500,102.003049,False,0.940800,1.966700
SC_0003,supercritical_f1.5_beta0.3_M1.0_theta45_seed1,main,1.500000,0.300000,1.000000,45.000000,1,MEASURABLE,0.814271,0.064572,46.386460,4.806123,8,5.308000,0.079300,97.370473,False,0.935100,2.216700
SC_0004,supercritical_f1.5_beta0.3_M1.0_theta45_seed2,main,1.500000,0.300000,1.000000,45.000000,2,MEASURABLE,0.931581,0.071359,43.508899,4.806123,9,4.944000,0.076600,93.781484,False,0.935100,2.216700
SC_0005,supercritical_f1.5_beta0.3_M1.0_theta90_seed1,main,1.500000,0.300000,1.000000,90.000000,1,MEASURABLE,0.647097,0.049826,230.891552,4.577260,14,5.414000,0.077000,81.114832,False,0.928400,2.466700
SC_0006,supercritical_f1.5_beta0.3_M1.0_theta90_seed2,main,1.500000,0.300000,1.000000,90.000000,2,MEASURABLE,0.639739,0.041775,226.067873,4.577260,13,5.574000,0.065300,93.823696,False,0.928400,2.466700
SC_0007,supercritical_f1.5_beta0.3_M3.0_theta0_seed1,main,1.500000,0.300000,3.000000,0.000000,1,MEASURABLE,2.355607,0.343212,12.810011,5.034986,5,4.980000,0.145700,105.612580,False,0.940800,1.806700
SC_0008,supercritical_f1.5_beta0.3_M3.0_theta0_seed2,main,1.500000,0.300000,3.000000,0.000000,2,PARTIAL,2.270021,0.681006,13.001946,5.034986,2,5.184000,0.129600,36.313975,False,0.940800,1.806700
SC_0009,supercritical_f1.5_beta0.3_M3.0_theta45_seed1,main,1.500000,0.300000,3.000000,45.000000,1,MEASURABLE,0.778938,0.109519,26.454967,4.806123,9,4.755000,0.140600,111.724122,False,0.935100,2.056700
SC_0010,supercritical_f1.5_beta0.3_M3.0_theta45_seed2,main,1.500000,0.300000,3.000000,45.000000,2,MEASURABLE,0.736723,0.103878,26.305842,4.806123,10,4.983000,0.141000,97.681317,False,0.935100,2.056700
SC_0011,supercritical_f1.5_beta0.3_M3.0_theta90_seed1,main,1.500000,0.300000,3.000000,90.000000,1,MEASURABLE,0.550107,0.077730,127.127005,4.577260,15,5.410000,0.141300,92.410151,False,0.928400,2.306700
SC_0012,supercritical_f1.5_beta0.3_M3.0_theta90_seed2,main,1.500000,0.300000,3.000000,90.000000,2,MEASURABLE,0.555210,0.077618,131.844370,4.577260,13,5.169000,0.139800,100.734767,False,0.928400,2.306700
SC_0013,supercritical_f1.5_beta1.0_M1.0_theta0_seed1,main,1.500000,1.000000,1.000000,0.000000,1,PARTIAL,3.165387,0.949616,21.930821,2.471721,2,5.041000,0.086300,32.481872,False,0.754500,1.500000
SC_0014,supercritical_f1.5_beta1.0_M1.0_theta0_seed2,main,1.500000,1.000000,1.000000,0.000000,2,PARTIAL,2.857083,0.857125,22.790652,2.471721,2,4.989000,0.082500,35.238506,False,0.754500,1.500000
SC_0015,supercritical_f1.5_beta1.0_M1.0_theta45_seed1,main,1.500000,1.000000,1.000000,45.000000,1,MEASURABLE,1.449954,0.112516,26.230911,2.403062,4,5.016000,0.077600,95.460384,False,0.740200,1.575000
SC_0016,supercritical_f1.5_beta1.0_M1.0_theta45_seed2,main,1.500000,1.000000,1.000000,45.000000,2,PARTIAL,1.396183,0.418855,26.129447,2.403062,6,4.122000,0.081900,35.853710,False,0.740200,1.575000
SC_0017,supercritical_f1.5_beta1.0_M1.0_theta90_seed1,main,1.500000,1.000000,1.000000,90.000000,1,MEASURABLE,1.121504,0.073010,31.863781,2.334403,8,5.025000,0.065100,95.934171,False,0.724700,1.650000
SC_0018,supercritical_f1.5_beta1.0_M1.0_theta90_seed2,main,1.500000,1.000000,1.000000,90.000000,2,MEASURABLE,1.029517,0.085038,33.381098,2.334403,8,4.658000,0.082600,96.630546,False,0.724700,1.650000
