beta,M,theta,f_trans_theory,f_trans_empirical,max_measurable_f,n_measurable,n_f_tested
0.1000,1.0000,0.0000,3.3000,2.0000,2.0000,2,2
0.1000,1.0000,90.0000,4.8000,2.0000,2.0000,2,2
0.3000,1.0000,0.0000,1.9667,1.5000,1.5000,1,6
0.3000,1.0000,45.0000,2.2167,2.0000,2.0000,4,6
0.3000,1.0000,90.0000,2.4667,2.0000,2.0000,4,6
0.3000,3.0000,0.0000,1.8067,1.5000,1.5000,1,4
0.3000,3.0000,45.0000,2.0567,2.0000,2.0000,2,4
0.3000,3.0000,90.0000,2.3067,2.0000,2.0000,2,4
1.0000,0.5000,0.0000,1.5000,1.4000,,0,2
1.0000,1.0000,0.0000,1.5000,1.4000,1.4000,1,6
1.0000,1.0000,45.0000,1.5750,1.5000,1.5000,3,6
1.0000,1.0000,90.0000,1.6500,1.5000,1.5000,3,6
1.0000,3.0000,0.0000,1.3400,1.4000,,0,4
1.0000,3.0000,45.0000,1.4150,1.5000,1.5000,1,4
1.0000,3.0000,90.0000,1.4900,1.4000,,0,4
3.0000,1.0000,0.0000,1.3667,1.2000,,0,6
3.0000,1.0000,45.0000,1.3917,1.2000,,0,6
3.0000,1.0000,90.0000,1.4167,1.4000,1.4000,2,6
3.0000,3.0000,0.0000,1.2067,1.4000,,0,4
3.0000,3.0000,45.0000,1.2317,1.4000,,0,4
3.0000,3.0000,90.0000,1.2567,1.4000,,0,4
