sim_name,f,beta,M,theta,seed,classification,lambda_W,lambda_W_err,t_frag,t_radial,t_J,N_peaks,peak_significance,sigma_lw,contrast,radial_collapsed,radial_width_frac,f_transition,sim_id,priority,grid
supercritical_f1.3_beta0.3_M1.0_theta0_seed1,1.3,0.3,1.0,0.0,1,PARTIAL,3.195285336536798,0.9585856009610394,32.52538564130522,7.933390161047939,0.8770580193070292,2,4.601,0.0885,34.055747951476164,False,0.9725,1.9667,P2_0001,1,longitudinal
supercritical_f1.3_beta0.3_M1.0_theta0_seed2,1.3,0.3,1.0,0.0,2,PARTIAL,2.22778617955317,0.6683358538659511,31.43976667654779,7.933390161047939,0.8770580193070292,2,5.132,0.0909,30.524060547605373,False,0.9725,1.9667,P2_0002,1,longitudinal
supercritical_f1.4_beta0.3_M1.0_theta0_seed1,1.4,0.3,1.0,0.0,1,PARTIAL,2.45460418533344,0.736381255600032,25.797412286481045,6.16115903405311,0.8451542547285166,1,5.146,0.0834,33.96634819893838,False,0.9577,1.9667,P2_0003,1,longitudinal
supercritical_f1.4_beta0.3_M1.0_theta0_seed2,1.4,0.3,1.0,0.0,2,PARTIAL,2.280744610099649,0.6842233830298946,26.692254238793787,6.16115903405311,0.8451542547285166,1,4.863,0.0859,39.38063998618089,False,0.9577,1.9667,P2_0004,1,longitudinal
supercritical_f1.5_beta0.3_M1.0_theta0_seed1,1.5,0.3,1.0,0.0,1,MEASURABLE,2.364381210953667,0.2364381210953667,21.92779959763883,5.0349863517729565,0.8164965809277261,3,4.962,0.1,88.76721499289091,False,0.9408,1.9667,P2_0005,1,longitudinal
supercritical_f1.5_beta0.3_M1.0_theta0_seed2,1.5,0.3,1.0,0.0,2,MEASURABLE,2.8344848989460183,0.2310105192641005,21.751615130762783,5.0349863517729565,0.8164965809277261,4,5.441,0.0815,102.00304883824394,False,0.9408,1.9667,P2_0006,1,longitudinal
supercritical_f1.6_beta0.3_M1.0_theta0_seed1,1.6,0.3,1.0,0.0,1,PARTIAL,2.446846293141703,0.7340538879425109,19.570856488176226,4.252046461229326,0.7905694150420948,2,5.201,0.077,38.632540901817706,False,0.9222,1.9667,P2_0007,1,longitudinal
supercritical_f1.6_beta0.3_M1.0_theta0_seed2,1.6,0.3,1.0,0.0,2,MEASURABLE,2.52578815109828,0.20686204957494914,19.413341809498345,4.252046461229326,0.7905694150420948,3,4.665,0.0819,95.51627710575062,False,0.9222,1.9667,P2_0008,1,longitudinal
supercritical_f1.7_beta0.3_M1.0_theta0_seed1,1.7,0.3,1.0,0.0,1,MEASURABLE,2.520885092702351,0.21603985244459148,16.94944234230071,3.6747131182379795,0.7669649888473704,4,4.98,0.0857,90.39822249028956,False,0.902,1.9667,P2_0009,1,longitudinal
supercritical_f1.7_beta0.3_M1.0_theta0_seed2,1.7,0.3,1.0,0.0,2,PARTIAL,2.4292940578687863,0.7287882173606358,17.203398777070266,3.6747131182379795,0.7669649888473704,2,5.184,0.0696,37.33168606694024,False,0.902,1.9667,P2_0010,1,longitudinal
supercritical_f1.8_beta0.3_M1.0_theta0_seed1,1.8,0.3,1.0,0.0,1,MEASURABLE,2.460250869136906,0.1950978939225566,14.902006001724535,3.2308566382906125,0.7453559924999299,3,4.575,0.0793,103.9239419315591,False,0.8803,1.9667,P2_0011,1,longitudinal
supercritical_f1.8_beta0.3_M1.0_theta0_seed2,1.8,0.3,1.0,0.0,2,MEASURABLE,2.283490132325056,0.19318326519469972,14.900159403357215,3.2308566382906125,0.7453559924999299,4,5.079,0.0846,112.2717366688715,False,0.8803,1.9667,P2_0012,1,longitudinal
supercritical_f1.9_beta0.3_M1.0_theta0_seed1,1.9,0.3,1.0,0.0,1,MEASURABLE,2.2483877064651536,0.1859416633246682,13.563068507649097,2.878808311498888,0.7254762501100117,4,5.182,0.0827,104.45403757726494,False,0.8571,1.9667,P2_0013,1,longitudinal
supercritical_f1.9_beta0.3_M1.0_theta0_seed2,1.9,0.3,1.0,0.0,2,MEASURABLE,2.287693990505523,0.21664462090087303,13.763592084000658,2.878808311498888,0.7254762501100117,4,4.702,0.0947,98.43105951410331,False,0.8571,1.9667,P2_0014,1,longitudinal
supercritical_f2.0_beta0.3_M1.0_theta0_seed1,2.0,0.3,1.0,0.0,1,PARTIAL,2.243027777728848,0.6729083333186544,13.086933377541195,2.592724864350674,0.7071067811865475,5,5.266,0.0822,38.73891027447625,False,0.8326,1.9667,P2_0015,1,longitudinal
supercritical_f2.0_beta0.3_M1.0_theta0_seed2,2.0,0.3,1.0,0.0,2,PARTIAL,2.4192128561756987,0.7257638568527096,12.283917566198525,2.592724864350674,0.7071067811865475,4,5.352,0.1051,33.543940147282555,False,0.8326,1.9667,P2_0016,1,longitudinal
