beta,M,theta,f_trans_theory,f_trans_empirical,f_max_beading,delta_f,sharpness,n_measurable,n_total,mean_lambda_W,std_lambda_W
0.3,1.0,0.0,1.9667,1.9,2.0,0.1,sharp,8,20,2.4407,0.1927
0.3,2.0,0.0,1.8867,1.9,2.5,0.1,sharp,8,20,2.3682,0.1825
0.3,3.0,0.0,1.8067,1.8,2.0,0.1,sharp,8,20,2.2858,0.1808
0.5,1.0,0.0,1.7,1.8,1.9,,indeterminate,6,20,2.9301,0.1754
0.5,1.0,30.0,1.775,1.6,1.8,0.2,sharp,6,12,1.4639,0.0771
0.5,1.0,45.0,1.85,1.8,2.5,0.4,gradual,7,12,1.0501,0.0384
0.5,1.0,60.0,1.925,2.0,2.0,0.7,gradual,9,12,0.8967,0.0453
0.5,2.0,0.0,1.62,1.8,2.2,0.4,gradual,7,20,2.7421,0.1819
0.5,2.0,30.0,1.695,1.6,1.8,0.3,gradual,5,12,1.4041,0.0715
0.5,2.0,45.0,1.77,1.8,2.5,0.4,gradual,7,12,0.9892,0.0309
0.5,2.0,60.0,1.845,2.0,2.5,0.9,gradual,8,12,0.8581,0.0592
0.5,3.0,0.0,1.54,1.7,2.5,0.1,sharp,5,20,2.6042,0.1811
1.0,1.0,0.0,1.5,1.4,2.5,,indeterminate,1,20,3.5767,
1.0,1.0,30.0,1.5375,1.6,2.5,,indeterminate,2,12,1.8644,0.1224
1.0,1.0,45.0,1.575,1.5,2.5,0.2,moderate,3,12,1.4756,0.0454
1.0,1.0,60.0,1.6125,1.6,2.5,0.4,gradual,4,12,1.2,0.0299
1.0,1.0,90.0,1.65,1.5,2.5,0.3,gradual,2,8,1.0755,0.065
1.0,2.0,0.0,1.42,1.3,2.5,,indeterminate,1,20,3.4743,
1.0,2.0,30.0,1.4575,1.5,2.5,0.2,moderate,3,12,1.8023,0.0758
1.0,2.0,45.0,1.495,1.5,2.5,,indeterminate,2,12,1.4309,0.0372
1.0,2.0,60.0,1.5325,1.6,2.5,0.3,gradual,5,12,1.1536,0.0412
1.0,2.0,90.0,1.57,1.5,2.5,,indeterminate,1,8,0.9939,
1.0,3.0,0.0,1.34,1.2,2.5,,indeterminate,0,20,,
2.0,1.0,0.0,1.4,1.3,2.5,,indeterminate,1,20,3.8162,
2.0,1.0,30.0,1.4188,1.3,2.5,,indeterminate,0,12,,
2.0,1.0,45.0,1.4375,1.3,2.5,,indeterminate,0,12,,
2.0,1.0,60.0,1.4562,1.5,2.5,,indeterminate,2,12,1.6023,0.0342
2.0,1.0,90.0,1.475,1.5,2.5,,indeterminate,1,8,1.5185,
2.0,2.0,0.0,1.32,1.2,2.5,,indeterminate,0,20,,
2.0,2.0,30.0,1.3388,1.4,2.5,,indeterminate,1,12,2.1763,
2.0,2.0,45.0,1.3575,1.4,2.5,,indeterminate,1,12,1.938,
2.0,2.0,60.0,1.3762,1.5,2.5,0.2,moderate,3,12,1.5524,0.0375
2.0,2.0,90.0,1.395,1.4,2.5,,indeterminate,0,8,,
2.0,3.0,0.0,1.24,1.2,2.5,,indeterminate,0,20,,
