sim_name,f,beta,M,theta,seed,resolution,density_contrast,perturb_offset,sim_type,classification,lambda_W,lambda_W_err,t_frag,t_radial,t_J,N_peaks,peak_significance,sigma_lw,contrast,radial_collapsed,radial_width_frac,f_transition,survival_time,decay_mode,lw_asymptotic,lw_early_representative,lw_t0.5,lw_t1.0,lw_t1.5,lw_t2.0,lw_t2.5,lw_t3.0,class_t0.5,class_t1.0,class_t1.5,class_t2.0,class_t2.5,class_t3.0,sim_id,subcampaign
supercritical_f1.30_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.300000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.445600,0.211300,32.415909,19.472867,0.877058,3,4.950000,0.086400,85.160474,False,0.995400,3.300000,3.000000,persistent,2.374348,True,2.341016,2.383515,2.445600,2.326744,2.400154,2.454254,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0001,A
supercritical_f1.30_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.300000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.587739,0.197186,32.415909,19.472867,0.877058,3,5.023000,0.076200,105.617828,False,0.995400,3.300000,3.000000,persistent,2.567958,True,2.463706,2.510923,2.587739,2.550480,2.589592,2.660235,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0002,A
supercritical_f1.35_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.350000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.460928,0.176202,29.135306,17.022549,0.860663,3,5.294000,0.071600,97.108951,False,0.994200,3.300000,3.000000,persistent,2.483013,True,2.502648,2.529530,2.460928,2.516431,2.521201,2.517110,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0003,A
supercritical_f1.35_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.350000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.525598,0.205079,29.135306,17.022549,0.860663,4,4.761000,0.081200,103.704729,False,0.994200,3.300000,3.000000,persistent,2.561866,True,2.478132,2.605210,2.525598,2.595778,2.587216,2.633941,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0004,A
supercritical_f1.40_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.400000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.297971,0.155343,26.482245,15.122845,0.845154,3,4.796000,0.067600,109.094014,False,0.993000,3.300000,3.000000,persistent,2.334682,True,2.284402,2.265193,2.297971,2.334291,2.373722,2.365760,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0005,A
supercritical_f1.40_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.400000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.627169,0.219106,26.482245,15.122845,0.845154,2,5.113000,0.083400,41.565814,False,0.993000,3.300000,0.000000,never_fragmented,2.574343,True,2.643507,2.671300,2.627169,2.565606,2.587472,2.629649,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,P3_0006,A
supercritical_f1.45_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.450000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.490560,0.230626,24.281814,13.603452,0.830455,2,4.856000,0.092600,44.689794,False,0.991600,3.300000,0.000000,never_fragmented,2.484750,True,2.459099,2.516170,2.490560,2.514092,2.511124,2.559651,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,P3_0007,A
supercritical_f1.45_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.450000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.364812,0.198644,24.281814,13.603452,0.830455,3,5.173000,0.084000,101.688947,False,0.991600,3.300000,3.000000,persistent,2.312864,True,2.202557,2.347132,2.364812,2.375402,2.324765,2.385816,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0008,A
supercritical_f1.50_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.500000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.518476,0.206263,22.420939,12.358603,0.816497,2,4.683000,0.081900,40.230080,False,0.990200,3.300000,0.000000,never_fragmented,2.545382,True,2.658913,2.564748,2.518476,2.515381,2.565579,2.579206,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,P3_0009,A
supercritical_f1.50_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.500000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.347836,0.152844,22.420939,12.358603,0.816497,4,5.202000,0.065100,96.565518,False,0.990200,3.300000,3.000000,persistent,2.318354,True,2.405576,2.252740,2.347836,2.330863,2.352971,2.398022,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0010,A
supercritical_f1.55_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.550000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.375595,0.246824,20.822705,11.318911,0.803219,3,5.029000,0.103900,96.859564,False,0.988700,3.300000,3.000000,persistent,2.372430,True,2.261790,2.413419,2.375595,2.467222,2.404119,2.428033,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0011,A
supercritical_f1.55_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.550000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.427510,0.207552,20.822705,11.318911,0.803219,3,4.963000,0.085500,97.798880,False,0.988700,3.300000,3.000000,persistent,2.482059,True,2.481057,2.497787,2.427510,2.486475,2.507214,2.557119,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0012,A
supercritical_f1.60_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.600000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.403410,0.183621,19.432655,10.436841,0.790569,4,5.122000,0.076400,99.682896,False,0.987100,3.300000,3.000000,persistent,2.441298,True,2.416414,2.575502,2.403410,2.429343,2.454627,2.528857,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0013,A
supercritical_f1.60_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.600000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.469429,0.188664,19.432655,10.436841,0.790569,2,5.504000,0.076400,38.130521,False,0.987100,3.300000,0.000000,never_fragmented,2.433736,True,2.372289,2.475340,2.469429,2.439198,2.460042,2.485996,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,P3_0014,A
supercritical_f1.65_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.650000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.453944,0.185764,18.210960,9.678666,0.778499,4,5.071000,0.075700,112.132215,False,0.985400,3.300000,3.000000,persistent,2.461284,True,2.473734,2.494615,2.453944,2.521358,2.489467,2.508126,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0015,A
supercritical_f1.65_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.650000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.442669,0.167079,18.210960,9.678666,0.778499,3,5.209000,0.068400,92.649141,False,0.985400,3.300000,3.000000,persistent,2.378680,True,2.392077,2.384614,2.442669,2.344056,2.399276,2.439980,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0016,A
supercritical_f1.70_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.700000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.474959,0.242546,17.127701,9.019750,0.766965,4,4.421000,0.098000,102.645073,False,0.983700,3.300000,3.000000,persistent,2.439670,True,2.373013,2.399436,2.474959,2.471380,2.474064,2.463434,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0017,A
supercritical_f1.70_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.700000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.194428,0.207812,17.127701,9.019750,0.766965,2,5.113000,0.094700,42.724708,False,0.983700,3.300000,0.000000,never_fragmented,2.223862,True,2.240793,2.193531,2.194428,2.235980,2.241103,2.295842,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,P3_0018,A
supercritical_f1.75_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.750000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.314532,0.153453,16.159891,8.441654,0.755929,3,4.891000,0.066300,106.869488,False,0.982000,3.300000,3.000000,persistent,2.330275,True,2.317109,2.275959,2.314532,2.359206,2.361938,2.389487,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0019,A
supercritical_f1.75_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.750000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,PARTIAL,2.318021,0.213026,16.159891,8.441654,0.755929,2,5.157000,0.091900,33.321772,False,0.982000,3.300000,0.000000,never_fragmented,2.255912,True,2.251984,2.259960,2.318021,2.294558,2.276496,2.300182,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,P3_0020,A
supercritical_f1.80_beta0.1_M1.0_theta0_seed1_res128_dc1.0,1.800000,0.100000,1.000000,0.000000,1,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.306128,0.161660,15.289531,7.930284,0.745356,3,4.977000,0.070100,111.782167,False,0.980100,3.300000,3.000000,persistent,2.369469,True,2.383192,2.440575,2.306128,2.308128,2.409340,2.402152,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0021,A
supercritical_f1.80_beta0.1_M1.0_theta0_seed2_res128_dc1.0,1.800000,0.100000,1.000000,0.000000,2,128,1.000000,0.000000,fine_sample_A,MEASURABLE,2.233643,0.176011,15.289531,7.930284,0.745356,4,5.475000,0.078800,115.898802,False,0.980100,3.300000,3.000000,persistent,2.254099,True,2.179003,2.271462,2.233643,2.288566,2.294598,2.280007,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,MEASURABLE,P3_0022,A
