f,beta,n_sims,n_measurable,n_partial,n_collapsed,p_measurable,mean_lambda_W
1.3000,0.1000,2,2,0,0,1.0000,2.5167
1.3000,0.3000,2,0,2,0,0.0000,2.7176
1.3000,0.5000,2,1,1,0,0.5000,3.1934
1.3000,0.7000,2,0,2,0,0.0000,3.2142
1.3000,1.0000,2,0,2,0,0.0000,3.4839
1.3500,0.1000,2,2,0,0,1.0000,2.4933
1.3500,0.3000,2,1,1,0,0.5000,2.6541
1.3500,0.5000,2,0,2,0,0.0000,3.1451
1.3500,0.7000,2,1,1,0,0.5000,3.0626
1.3500,1.0000,2,0,2,0,0.0000,3.2626
1.4000,0.1000,2,1,1,0,0.5000,2.4626
1.4000,0.3000,2,0,2,0,0.0000,2.6625
1.4000,0.5000,2,1,1,0,0.5000,2.9466
1.4000,0.7000,2,0,2,0,0.0000,3.1930
1.4000,1.0000,2,1,1,0,0.5000,3.3643
1.4500,0.1000,2,1,1,0,0.5000,2.4277
1.4500,0.3000,2,2,0,0,1.0000,2.6495
1.4500,0.5000,2,1,1,0,0.5000,3.0396
1.4500,0.7000,2,0,2,0,0.0000,3.0155
1.4500,1.0000,2,0,2,0,0.0000,3.1142
1.5000,0.1000,2,1,1,0,0.5000,2.4332
1.5000,0.3000,2,2,0,0,1.0000,2.4918
1.5000,0.5000,2,1,1,0,0.5000,2.8147
1.5000,0.7000,2,1,1,0,0.5000,3.2072
1.5000,1.0000,2,0,2,0,0.0000,3.1768
1.5500,0.1000,2,2,0,0,1.0000,2.4016
1.5500,0.3000,2,2,0,0,1.0000,2.6036
1.5500,0.5000,2,0,2,0,0.0000,2.8722
1.5500,0.7000,2,0,2,0,0.0000,2.9732
1.5500,1.0000,2,0,2,0,0.0000,3.2262
1.6000,0.1000,2,1,1,0,0.5000,2.4364
1.6000,0.3000,2,1,1,0,0.5000,2.4805
1.6000,0.5000,2,1,1,0,0.5000,2.9177
1.6000,0.7000,2,0,2,0,0.0000,3.1302
1.6000,1.0000,2,0,2,0,0.0000,3.1818
1.6500,0.1000,2,2,0,0,1.0000,2.4483
1.6500,0.3000,2,1,1,0,0.5000,2.4298
1.6500,0.5000,2,0,2,0,0.0000,2.8784
1.6500,0.7000,2,0,2,0,0.0000,3.2369
1.7000,0.1000,2,1,1,0,0.5000,2.3347
1.7000,0.3000,2,1,1,0,0.5000,2.5033
1.7000,0.5000,2,1,1,0,0.5000,2.7757
1.7500,0.1000,2,1,1,0,0.5000,2.3163
1.7500,0.3000,2,2,0,0,1.0000,2.6077
1.7500,0.5000,2,0,2,0,0.0000,2.7605
1.8000,0.1000,2,2,0,0,1.0000,2.2699
1.8000,0.3000,2,2,0,0,1.0000,2.6783
1.8000,0.5000,2,1,1,0,0.5000,2.7792
1.8500,0.1000,2,2,0,0,1.0000,2.3078
1.8500,0.3000,2,2,0,0,1.0000,2.4405
1.8500,0.5000,2,0,2,0,0.0000,2.8056
1.9000,0.1000,2,2,0,0,1.0000,2.2885
1.9000,0.3000,2,2,0,0,1.0000,2.5109
1.9000,0.5000,2,0,2,0,0.0000,2.7817
1.9500,0.1000,2,2,0,0,1.0000,2.3843
1.9500,0.3000,2,0,2,0,0.0000,2.3682
1.9500,0.5000,2,0,0,2,0.0000,
2.0000,0.1000,2,2,0,0,1.0000,2.2179
2.0000,0.3000,2,0,2,0,0.0000,2.3478
2.0000,0.5000,2,0,0,2,0.0000,
