f,beta,theta,M,lw_128,lw_256,delta_lw,pct_diff,class_128,class_256,class_agree
1.5000,0.3000,0.0000,1.0000,2.4945,2.4764,-0.0182,0.7300,MEASURABLE,MEASURABLE,True
1.6000,0.3000,0.0000,1.0000,2.4008,2.4493,0.0485,2.0200,PARTIAL,PARTIAL,True
1.7000,0.3000,0.0000,1.0000,2.5929,2.4402,-0.1527,5.8900,MEASURABLE,MEASURABLE,True
1.8000,0.3000,0.0000,1.0000,2.5842,2.2116,-0.3725,14.4200,MEASURABLE,MEASURABLE,True
1.9000,0.3000,0.0000,1.0000,2.4249,2.4692,0.0443,1.8300,MEASURABLE,MEASURABLE,True
1.5000,0.5000,0.0000,1.0000,2.6987,2.7029,0.0043,0.1600,PARTIAL,PARTIAL,True
1.6000,0.5000,0.0000,1.0000,2.8341,2.8567,0.0226,0.8000,PARTIAL,PARTIAL,True
1.7000,0.5000,0.0000,1.0000,2.8494,2.8667,0.0172,0.6100,PARTIAL,PARTIAL,True
1.8000,0.5000,0.0000,1.0000,2.7581,2.5535,-0.2046,7.4200,PARTIAL,PARTIAL,True
1.9000,0.5000,0.0000,1.0000,2.8464,2.4876,-0.3588,12.6000,PARTIAL,PARTIAL,True
1.5000,0.3000,30.0000,1.0000,1.2643,1.0820,-0.1823,14.4200,MEASURABLE,MEASURABLE,True
1.6000,0.3000,30.0000,1.0000,1.1827,1.2042,0.0216,1.8300,MEASURABLE,MEASURABLE,True
1.7000,0.3000,30.0000,1.0000,1.1255,1.1470,0.0216,1.9200,MEASURABLE,MEASURABLE,True
1.5000,0.3000,45.0000,1.0000,0.8642,0.9169,0.0527,6.0900,MEASURABLE,MEASURABLE,True
1.6000,0.3000,45.0000,1.0000,0.8596,0.7810,-0.0786,9.1500,MEASURABLE,MEASURABLE,True
1.5000,0.5000,30.0000,1.0000,1.4655,1.3568,-0.1087,7.4200,MEASURABLE,MEASURABLE,True
1.6000,0.5000,30.0000,1.0000,1.5077,1.3177,-0.1900,12.6000,MEASURABLE,MEASURABLE,True
1.5000,0.5000,45.0000,1.0000,1.0959,1.0816,-0.0143,1.3000,MEASURABLE,MEASURABLE,True
1.5000,0.3000,0.0000,2.0000,2.3253,2.3724,0.0470,2.0200,PARTIAL,PARTIAL,True
1.6000,0.3000,0.0000,2.0000,2.5085,2.3608,-0.1477,5.8900,MEASURABLE,MEASURABLE,True
