run_id,f,beta,theta_deg,mach_number,seed,bfield_geometry,outcome,fragmented,morphology,lambda_W,lambda_W_err,t_frag_tJ,beading_window_tJ,n_peaks_max,wall_sec,hgbs_match
TAG_f1p0_b0p3_t0_m1p0_s1,1.0,0.3,0,1.0,1,longitudinal,FRAG_KILL,True,FULL,4.6722,1.4659,1.719,0.1599,6,280.3,False
TAG_f1p0_b0p3_t0_m1p0_s2,1.0,0.3,0,1.0,2,longitudinal,FRAG_KILL,True,FULL,9.185,4.8249,1.6705,0.1593,6,260.3,False
TAG_f1p0_b0p3_t0_m1p0_s3,1.0,0.3,0,1.0,3,longitudinal,FRAG_KILL,True,FULL,9.1974,1.5871,1.6726,0.2089,4,260.3,False
TAG_f1p0_b0p3_t0_m1p0_s4,1.0,0.3,0,1.0,4,longitudinal,FRAG_KILL,True,FULL,6.937,4.7258,1.67,0.1983,6,270.3,False
TAG_f1p0_b0p3_t0_m1p0_s5,1.0,0.3,0,1.0,5,longitudinal,FRAG_KILL,True,FULL,5.2819,1.0554,1.6763,0.16,6,320.3,False
TAG_f1p0_b0p3_t0_m1p5_s1,1.0,0.3,0,1.5,1,longitudinal,FRAG_KILL,True,FULL,4.8904,1.5813,1.6775,0.1793,6,310.4,False
TAG_f1p0_b0p3_t0_m1p5_s2,1.0,0.3,0,1.5,2,longitudinal,FRAG_KILL,True,FULL,10.2604,5.3345,1.6071,0.1501,6,230.3,False
TAG_f1p0_b0p3_t0_m1p5_s3,1.0,0.3,0,1.5,3,longitudinal,FRAG_KILL,True,FULL,8.9299,0.8498,1.6154,0.2094,4,250.3,False
TAG_f1p0_b0p3_t0_m1p5_s4,1.0,0.3,0,1.5,4,longitudinal,FRAG_KILL,True,FULL,6.6667,4.6031,1.6234,0.2188,6,260.3,False
TAG_f1p0_b0p3_t0_m1p5_s5,1.0,0.3,0,1.5,5,longitudinal,FRAG_KILL,True,FULL,5.1425,1.0719,1.631,0.1797,6,330.4,False
TAG_f1p0_b0p3_t0_m2p0_s1,1.0,0.3,0,2.0,1,longitudinal,FRAG_KILL,True,FULL,5.0877,1.9409,1.6325,0.1794,6,280.3,False
TAG_f1p0_b0p3_t0_m2p0_s2,1.0,0.3,0,2.0,2,longitudinal,FRAG_KILL,True,FULL,9.9632,5.2965,1.578,0.1595,6,240.3,False
TAG_f1p0_b0p3_t0_m2p0_s3,1.0,0.3,0,2.0,3,longitudinal,FRAG_KILL,True,FULL,8.9692,1.6671,1.5935,0.2285,4,270.3,False
TAG_f1p0_b0p3_t0_m2p0_s4,1.0,0.3,0,2.0,4,longitudinal,FRAG_KILL,True,FULL,6.9248,4.6399,1.5787,0.22,6,240.3,False
TAG_f1p0_b0p3_t0_m2p0_s5,1.0,0.3,0,2.0,5,longitudinal,FRAG_KILL,True,FULL,5.236,1.3238,1.711,0.3095,6,3644.4,False
