f,beta,theta_deg,delta_v_cs,M_turb_achieved,seed,fragmented,morphology,lambda_W,lambda_W_err,t_frag_tJ,beading_window_tJ,n_peaks,hgbs_match
1.0,0.3,0,1.0,0.53,1,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,1.0,0.53,2,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,1.0,0.53,3,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,1.5,0.739,4,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,2.0,0.9357,1,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,2.0,0.9357,2,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,2.0,0.9357,4,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,2.5,1.1235,1,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,2.5,1.1235,2,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,2.5,1.1235,3,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,2.5,1.1235,4,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,2.5,1.1235,5,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,3.0,1.3047,1,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,3.0,1.3047,2,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,3.0,1.3047,3,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,3.0,1.3047,4,False,SUPPRESSED,,,,,0,False
1.0,0.3,0,3.0,1.3047,5,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,1.0,0.53,1,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,1.0,0.53,2,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,1.0,0.53,3,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,1.0,0.53,4,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,1.0,0.53,5,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,1.5,0.739,1,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,1.5,0.739,2,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,1.5,0.739,3,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,1.5,0.739,4,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,1.5,0.739,5,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,2.0,0.9357,1,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,2.0,0.9357,2,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,2.0,0.9357,3,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,2.0,0.9357,4,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,2.0,0.9357,5,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,2.5,1.1235,1,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,2.5,1.1235,2,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,2.5,1.1235,3,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,2.5,1.1235,4,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,2.5,1.1235,5,False,SUPPRESSED,,,,,0,False
1.0,0.3,90,3.0,1.3047,1,False,SUPPRESSED,,,,,0,False
